WKT,PLANID,LAAG,VOOR,PLAN,OID_,LAAG_1,LEGENDA,LEGEN_SVBP
"POLYGON ((91232.252 442161.725,91232.390497 442161.46192,91231.228447 442163.586902,91231.211152 442163.640809,91231.243 442163.584,91231.499 442163.122,91231.753 442162.658,91232.004 442162.192,91232.252 442161.725))","527",DB_LEIDINGSTRAAT,527.PDF#13,527_Plankaart.pdf,"23",DB_LEIDINGSTRAAT,leidingstraat,leiding
"POLYGON ((91121.67331 441500.518916,91119.10624 441490.834112,91093.16815 441497.709304,91093.113693 441497.723738,91108.093756 441555.34653,91108.647996 441555.202985,91119.297931 441552.444736,91128.977912 441549.937662,91134.399999 441548.533,91121.67331 441500.518916))","527",DB_SPOORWEG,527.PDF#4,527_Plankaart.pdf,"32",DB_SPOORWEG,spoorweg op viaduct,spoorweg op viaduct
"POLYGON ((91119.10624 441490.834112,91104.887 441436.812,91107.964596 441438.742374,91106.713 441433.860303,91098.704 441428.795,91095.17 441426.56,91054.318164 441400.722482,91055.633 441405.928,91072.187 441416.308,91093.113693 441497.723738,91093.16815 441497.709304,91119.10624 441490.834112))","527",DB_SPOORWEG_ONDERGR,527.PDF#5,527_Plankaart.pdf,"35",DB_SPOORWEG_ONDERGR,"spoorweg, ondergronds","spoorweg, ondergronds"
"POLYGON ((91072.187 441416.308,91055.633 441405.928,91057.438 441413.073,91059.904 441422.786,91062.382 441432.511,91064.872 441442.218,91067.37 441451.929,91069.879 441461.629,91072.399 441471.346,91074.929999 441481.046999,91077.471 441490.74,91080.025 441500.445,91082.589 441510.129,91085.163999 441519.830999,91087.747 441529.503,91090.341 441539.197,91095.578 441558.589,91099.976746 441557.412405,91104.824789 441556.193211,91108.093756 441555.34653,91095.674655 441507.390251,91093.16815 441497.709304,91072.187 441416.308))","527",DB_SPOORWEG_ONDERGR,527.PDF#5,527_Plankaart.pdf,"35",DB_SPOORWEG_ONDERGR,"spoorweg, ondergronds","spoorweg, ondergronds"
"POLYGON ((91107.964596 441438.742374,91104.887 441436.812,91119.10624 441490.834112,91121.67331 441500.518916,91134.399999 441548.533,91138.993 441547.343,91143.834 441546.089,91147.605379 441545.077846,91121.849999 441449.015999,91108.445 441440.610999,91107.964596 441438.742374))","527",DB_SPOORWEG_ONDERGR,527.PDF#5,527_Plankaart.pdf,"35",DB_SPOORWEG_ONDERGR,"spoorweg, ondergronds","spoorweg, ondergronds"
"POLYGON ((91134.399999 441548.533,91128.977912 441549.937662,91119.297931 441552.444736,91108.647996 441555.202985,91111.221999 441564.681999,91113.855999 441574.348999,91116.502999 441584.0,91119.156999 441593.655999,91121.704999 441602.871999,91147.339999 441595.772999,91144.798999 441586.578999,91142.152999 441576.953999,91139.512 441567.326,91136.887999 441557.694999,91134.399999 441548.533))","527",DB_SPOORWEG,527.PDF#4,527_Plankaart.pdf,"32",DB_SPOORWEG,spoorweg op viaduct,spoorweg op viaduct
"POLYGON ((90905.387873 435992.23859,90905.084 435992.149,90902.762 436001.461,90903.191119 436001.586226,90903.307502 436001.61956,90905.616413 435992.30894,90905.6171 435992.306173,90905.387873 435992.23859))","530",DB_METRO_ONDERGR,530.PDF#14,530_Plankaart.pdf,"26",DB_METRO_ONDERGR,"metro, ondergronds","metro, ondergronds"
"POLYGON ((99536.642891 444801.823129,99534.721304 444800.960606,99520.739084 444836.044555,99520.79 444835.935,99522.039343 444833.246693,99525.200449 444826.4447,99526.675632 444823.270437,99527.237907 444822.060548,99534.63353 444806.146824,99536.642891 444801.823129))","534",DB_LEIDINGSTRAAT,534.PDF#0,534_Plankaart.pdf,"23",DB_LEIDINGSTRAAT,leidingstraat,leiding
"POLYGON ((100522.672718 445385.049614,100513.71039 445381.019397,100513.693 445381.056499,100533.662 445390.036499,100535.921 445391.052499,100542.118 445393.839499,100546.791 445395.941499,100546.807526 445395.903891,100542.157 445393.812,100535.96 445391.025,100533.700853 445390.008934,100522.672718 445385.049614))","534",DB_WATERKERING,534.PDF#0,534_Plankaart.pdf,"40",DB_WATERKERING,waterkering,waterkering
"POLYGON ((95467.948958 434039.221498,95464.311041 434037.558501,95460.817972 434045.199822,95436.129116 434099.208339,95433.836704 434105.449354,95408.715895 434171.426423,95380.857694 434227.362497,95333.118131 434324.331609,95319.414427 434351.778998,95301.997339 434385.933287,95275.954541 434437.268804,95244.902709 434499.102452,95242.340573 434504.206706,95233.93142 434521.145,95233.284846 434522.427,95232.778601 434523.989756,95232.263072 434525.559258,95232.109274 434527.031323,95231.812289 434528.615243,95231.885297 434530.377862,95231.749393 434531.571876,95231.759915 434533.5395,95231.460851 434552.410395,95231.341069 434554.636348,95231.300989 434556.650375,95231.191512 434558.849859,95231.12 434561.199572,95231.12 434563.231342,95231.100668 434565.464152,95230.94922 434567.422883,95230.950204 434567.520348,95230.970121 434569.492147,95230.99 434571.142047,95230.99 434572.885512,95231.097995 434574.829435,95231.379587 434576.770409,95231.520218 434578.879875,95231.794574 434580.652633,95232.119252 434582.659734,95232.305077 434584.197951,95232.783243 434586.45365,95233.188791 434588.377403,95233.714134 434590.17569,95234.220252 434592.368871,95234.86785 434594.736649,95235.404255 434596.789431,95236.34582 434599.522016,95236.906999 434601.205555,95237.505114 434602.760653,95238.263599 434605.07656,95239.059307 434606.988325,95247.544458 434628.026713,95247.997297 434629.357506,95248.333614 434630.582047,95248.444296 434631.458988,95248.571776 434632.57231,95248.501169 434633.552962,95248.302226 434634.822408,95248.181232 434635.661297,95247.844381 434636.562179,95247.436417 434637.505028,95247.051189 434638.275485,95246.391418 434639.157651,95245.816757 434639.665684,95244.743966 434640.717232,95243.899446 434641.607649,95243.244853 434642.121973,95242.378499 434642.685103,95241.729893 434643.283036,95240.899667 434643.836521,95184.393814 434684.619615,95182.84487 434685.783854,95181.028293 434687.161595,95179.199538 434688.672305,95177.799538 434689.702305,95176.177099 434691.042581,95174.789732 434692.098186,95173.217159 434693.421934,95171.493658 434694.707089,95169.858836 434696.060763,95168.435052 434697.321829,95166.773239 434698.789278,95165.169186 434700.035739,95163.509195 434701.633867,95161.860839 434703.108712,95159.976029 434704.644483,95158.511439 434705.937362,95156.508267 434707.635482,95155.124012 434708.968846,95153.665867 434710.291799,95152.122124 434711.583296,95150.403172 434713.199929,95148.669713 434714.815199,95146.786332 434716.461924,95144.468081 434718.473798,95142.793791 434720.137816,95140.928739 434721.97246,95139.280863 434723.729533,95137.528802 434725.393006,95135.957488 434726.944175,95134.44288 434728.428691,95132.768542 434730.10303,95130.951724 434732.010689,95127.41881 434735.713742,95125.591982 434737.651592,95123.605646 434739.838569,95120.022743 434743.711707,95116.283141 434747.864581,95113.064007 434751.669012,95109.667023 434755.801841,95106.720775 434759.599895,95103.803711 434763.223514,95101.384972 434766.635843,95098.437686 434770.412365,95095.830443 434774.056466,95092.783986 434778.20801,95089.92953 434782.01059,95087.056831 434786.279461,95083.473626 434791.285994,95080.829092 434794.976274,95078.162632 434798.910561,95075.026405 434803.569812,95071.536132 434808.84534,95068.667729 434813.282869,95065.996942 434817.294051,95063.581575 434821.042379,95060.967321 434825.054254,95058.532151 434829.059202,95032.436973 434871.781998,95020.853865 434890.745759,95020.081163 434892.01082,94998.289138 434928.004165,94963.798585 434984.965078,94923.757983 435051.266076,94876.218446 435129.815308,94849.768104 435173.618265,94842.615276 435185.46368,94838.039528 435193.850875,94817.947109 435231.566653,94815.592508 435235.986509,94813.871394 435238.944055,94817.328605 435240.955944,94819.087491 435237.93349,94821.512945 435233.380634,94841.560471 435195.749124,94846.084723 435187.456319,94853.251925 435175.587102,94853.253866 435175.583895,94879.641553 435131.884691,94927.182016 435053.333923,94967.221414 434987.034921,94987.42611 434953.667003,95001.710861 434930.075834,95023.498836 434894.089179,95042.630412 434862.767133,95061.947848 434831.140797,95064.352678 434827.185745,95066.938424 434823.21762,95069.343057 434819.485948,95072.01227 434815.47713,95074.883867 434811.034659,95078.353594 434805.790187,95081.477367 434801.149438,95084.110907 434797.263725,95086.726373 434793.614005,95090.343168 434788.560538,95093.190469 434784.329409,95095.996013 434780.591989,95099.069556 434776.403533,95101.642313 434772.807634,95104.595027 434769.024156,95106.996288 434765.636485,95109.859224 434762.080104,95112.792976 434758.298158,95116.135992 434754.230987,95119.296858 434750.495418,95122.977256 434746.408292,95126.554353 434742.54143,95128.528017 434740.368407,95130.321189 434738.466257,95133.848275 434734.76931,95135.631457 434732.896969,95137.257119 434731.271308,95138.762511 434729.795824,95140.311197 434728.266993,95142.119136 434726.550466,95143.79126 434724.767539,95145.606208 434722.982183,95147.191918 434721.406201,95149.413667 434719.478075,95151.350286 434717.7848,95153.136827 434716.12007,95154.777875 434714.576703,95156.294132 434713.3082,95157.855987 434711.891153,95159.191732 434710.604517,95161.12856 434708.962637,95162.56397 434707.695516,95164.45916 434706.151287,95166.230804 434704.566132,95167.790813 434703.06426,95169.32676 434701.870721,95171.084947 434700.31817,95172.461163 434699.099236,95173.966341 434697.85291,95175.70284 434696.558065,95177.290267 434695.221813,95178.6629 434694.177418,95180.260461 434692.857694,95181.660461 434691.827694,95183.511706 434690.298404,95185.255129 434688.976145,95186.766185 434687.840384,95243.180332 434647.123478,95244.210106 434646.436963,95244.8415 434645.854896,95245.575146 434645.378026,95246.600553 434644.57235,95247.596033 434643.522767,95248.543242 434642.594315,95249.348581 434641.882348,95250.46881 434640.384514,95251.063582 434639.194971,95251.555618 434638.05782,95252.078767 434636.658702,95252.257773 434635.417591,95252.47883 434634.007037,95252.588223 434632.487689,95252.415703 434630.981011,95252.266385 434629.797952,95251.822702 434628.182493,95251.295541 434626.633286,95242.760692 434605.471674,95242.0164 434603.683439,95241.274885 434601.419346,95240.673 434599.854444,95240.134179 434598.237983,95239.235744 434595.630568,95238.732149 434593.70335,95238.099747 434591.391128,95237.585865 434589.164309,95237.071208 434587.402596,95236.696756 434585.626349,95236.254922 434583.542048,95236.080747 434582.100265,95235.745425 434580.027366,95235.499781 434578.440124,95235.360412 434576.34959,95235.082004 434574.430564,95234.99 434572.774487,95234.99 434571.117952,95234.969878 434569.447852,95234.950779 434567.557116,95235.057682 434566.174504,95235.099331 434565.635847,95235.12 434563.248657,95235.12 434561.260427,95235.188487 434559.01014,95235.29901 434556.789624,95235.33893 434554.783651,95235.459148 434552.549604,95235.760084 434533.560499,95235.750606 434531.788123,95235.894702 434530.522137,95235.82771 434528.904756,95236.070725 434527.608676,95236.196927 434526.400741,95236.581398 434525.230243,95236.995153 434523.952999,95237.508579 434522.934999,95245.919426 434505.993293,95248.47729 434500.897547,95279.525458 434439.071195,95305.56266 434387.746712,95322.985572 434353.581001,95336.701868 434326.10839,95384.442305 434229.137502,95412.384104 434173.033576,95437.583295 434106.850645,95439.830883 434100.73166,95464.395376 434046.995196,95467.948958 434039.221498))","537",DB_LEIDINGSTRAAT,537.PDF#28,537_Plankaart.pdf,"23",DB_LEIDINGSTRAAT,leidingstraat,leiding
