x,y,z
84105.24976097529,431812.0920270032,0.0
84105.24976097529,431812.0920270032,3.0
84105.24976097529,431812.0920270032,6.0
84105.24976097529,431812.0920270032,9.0
84120.92807288797,431819.1905860802,0.0
84120.06364623301,431822.4714365032,2.6
84121.87556053196,431818.6353526181,0.0
84125.02664740688,431820.3508506527,0.0
84118.3144993086,431821.7566044837,0.0
84124.6141434727,431819.04423460184,0.0
84118.92021454069,431822.81800967694,0.0
84120.26741268138,431822.2737062967,0.0
84119.9952316749,431819.39505478955,0.0
84120.1706265259,431822.3128104418,0.0
84118.82100586826,431822.85809258244,0.0
84120.1706265259,431822.3128104418,0.0
84124.88756982869,431820.4070416417,0.0
84120.01658425071,431819.4479042692,0.0
84121.79770443535,431818.7282850033,0.0
84117.03563084404,431818.4391343316,0.0
84118.47925610561,431817.85587186564,0.0
84121.7874480987,431816.5192755403,0.0
84123.24127238266,431815.93189240183,0.0
84118.3144993086,431821.7566044837,2.5
84118.25310227265,431821.4524818589,0.0
84118.7546920059,431822.6939600135,0.0
84124.55795248371,431818.9051570237,0.0
84118.33717509903,431821.8127290345,0.0
84119.80943688807,431819.4701207561,0.0
84119.80943688807,431819.4701207561,0.0
84122.0613553187,431818.56028665166,0.0
84121.87556053196,431818.6353526181,0.0
84118.3144993086,431821.7566044837,0.0
84118.31678291038,431821.76225659647,0.006096
84118.3144993086,431821.7566044837,2.382
84120.11579292316,431819.4078213637,0.0
84120.3021535765,431819.33252677234,0.0
84123.71953217158,431820.9943627054,0.0
84120.21070943138,431822.41201911424,0.0
84120.30749558687,431822.3729149691,0.0
84123.13947309453,431821.22872178507,0.0
84118.75092448524,431822.83679470094,0.0
84118.80377396496,431822.8154421251,0.0
84117.49919542414,431818.1903656035,0.0
84117.13483951647,431818.3990514261,0.0
84117.49919542414,431818.1903656035,2.382
84117.49919542414,431818.1903656035,0.0
84117.50484753693,431818.1880820017,0.006096
84118.56731122461,431817.75881880784,0.0
84118.58866380044,431817.8116682876,0.0
84117.03563084404,431818.4391343316,0.0
84117.16037483964,431818.74788655515,0.0
84125.0014866903,431820.00294270745,0.0
84124.66699295239,431819.02288202604,2.382
84124.66927808408,431819.0285379254,2.375904
84125.0014866903,431820.00294270745,0.0
84124.6675905518,431819.0243611364,2.382
84122.83421132332,431816.03487926495,0.0
84122.85556389917,431816.0877287447,0.0
84121.76609552286,431816.4664260606,0.0
84121.8755032177,431816.42222248256,0.0
84121.88115533048,431816.4199388808,0.006096
84121.76609552286,431816.4664260606,0.0
84120.18805594956,431817.16547191393,0.0
84123.3404810551,431815.89180949633,0.0
84123.4652250507,431816.2005617199,0.0
84114.58211331019,431825.37138131855,0.0
84118.3144993086,431821.7566044837,0.0
84118.31678291038,431821.76225659647,0.006096
84118.3144993086,431821.7566044837,2.382
84110.4013449915,431825.32314896525,0.0
84110.60903072586,431825.83718919597,0.397255837928659
84116.2967443395,431822.24290177104,2.5
84116.2967443395,431822.24290177104,0.0
84110.4013449915,431825.32314896525,0.0
84118.83144538131,431824.63777120976,0.0
84110.49939337843,431824.8143722325,0.0
84110.49939337843,431824.8143722325,0.0
84118.20025279293,431821.47383443476,0.0
84110.4013449915,431825.32314896525,0.0
84118.26814011586,431821.7753348134,0.0
84116.2967443395,431822.24290177104,0.0
84110.42939382285,431825.3792249232,0.0
84111.70834739592,431828.55809343385,0.0
84111.89981086188,431828.4807371723,0.0
84111.98241161574,431828.6851812122,0.0
84117.76108498934,431826.35044561874,0.0
84118.81271505164,431824.59141201706,0.0
84118.1946141725,431823.061558657,0.0
84118.1946141725,431823.061558657,0.0
84118.21521753514,431823.11255376897,0.0
84116.2967443395,431822.24290177104,0.0
84121.46508982651,431820.3262416742,0.0
84120.11579292316,431819.4078213637,0.0
84120.3021535765,431819.33252677234,0.0
84120.11579292316,431819.4078213637,0.0
84120.11579292316,431819.4078213637,2.91
84121.1324752177,431821.92419834505,2.91
84121.79770443535,431818.7282850033,2.91
84120.21500159558,431819.3677384582,2.91
84120.11579292316,431819.4078213637,0.0
84121.1324752177,431821.92419834505,0.0
84121.79770443535,431818.7282850033,0.0
84120.11579292316,431819.4078213637,2.62
84120.11579292316,431819.4078213637,3.0
84113.6811288609,431830.613043355,0.0
84112.7930993525,431830.9439684185,2.5
84112.7930993525,431830.9439684185,0.0
84112.7930993525,431830.9439684185,0.0
84112.7930993525,431830.9439684185,0.0
84112.49667679904,431829.9113165315,0.0
84112.49667679904,431829.9113165315,0.0
84113.64453041108,431829.4475535688,0.0
84114.86655873142,431828.9538220787,0.0
84113.20741424483,431831.9694337617,0.0
84118.19851551876,431826.96498606366,0.0
84111.98241161574,431828.6851812122,0.0
84117.76108498934,431826.35044561874,0.0
84112.49667679904,431829.9113165315,0.0
84113.64453041108,431829.4475535688,0.0
84111.82904722792,431828.8568360012,0.0
84124.93539230905,431823.2749576116,2.5
84124.68227111666,431823.37722521165,0.0
84119.7860545277,431825.53230481874,0.0
84119.92303639125,431825.3000808556,0.0
84111.82904722792,431828.8568360012,0.0
84112.28898761571,431829.99522840837,0.0
84119.27610340768,431825.7383384451,0.0
84119.92303639125,431825.3000808556,0.0
84124.12870547023,431825.0903367301,0.0
84124.93539230905,431823.2749576116,0.0
84111.83836572959,431828.86655276635,0.0
84124.86178574993,431823.30469659186,0.0
84122.70408747769,431825.66591976094,0.0
84125.97152026652,431822.85633474344,0.0
84124.72235402217,431823.47643388406,0.0
84124.12870547023,431825.0903367301,0.0
84122.70408747769,431825.66591976094,0.0
84111.82904722792,431828.8568360012,0.0
84111.98241161574,431828.6851812122,0.0
84114.86655873142,431828.9538220787,0.0
84115.066830444,431828.8729070545,0.0
84119.12511417543,431827.23325399513,0.0
84119.22339566403,431827.1935456962,0.0
84125.97152026652,431822.85633474344,0.0
84119.92303639125,431825.3000808556,0.0
84121.27023453196,431824.75577747537,0.0
84125.44530654371,431824.55839536746,0.0
84125.44530654371,431824.55839536746,0.0
84124.19220128782,431825.2474943935,0.0
84116.07189774234,431828.46683350723,0.0
84120.48251133852,431826.68482994236,0.0
84120.38330266609,431826.72491284786,0.0
84120.17679013731,431831.2245887227,0.0
84114.86655873142,431828.9538220787,0.0
84114.86655873142,431828.9538220787,0.0
84115.066830444,431828.8729070545,0.0
84119.12511417543,431827.23325399513,0.0
84119.22339566403,431827.1935456962,0.0
84114.86655873142,431828.9538220787,2.5
84121.15945757763,431828.7981232939,0.0
84121.991084215,431830.856471451,0.0
84122.82271085239,431832.91481960815,0.0
84114.86655873142,431828.9538220787,0.0
84118.23108785017,431837.2813238685,0.0
84118.23108785017,431837.2813238685,0.0
