WKT,PLANID,LAAG,OID_,LAAG_1,LEGENDA
"POLYGON ((91235.520562 437370.71821,91234.05549 437355.532577,91415.236015 437380.036667,91424.514802 437245.781866,91425.979873 437210.23368,91417.677801 437139.137308,91282.891211 437110.491682,91257.496637 437102.553737,91139.802549 437062.173759,91037.735892 437017.997372,91000.620745 437002.121483,90929.320593 436982.449186,90945.43638 437050.439406,90931.274021 437097.031689,90944.043286 437332.021751,90981.574813 437386.594099,91196.940343 437434.566893,91202.312272 437395.222298,91235.520562 437370.71821),(91169.17836 437189.511354,91175.507289 437189.128524,91181.836217 437189.511354,91188.072856 437190.65426,91194.12626 437192.540577,91199.908158 437195.142798,91205.334236 437198.422977,91210.32537 437202.333281,91214.808778 437206.816689,91218.719082 437211.807823,91221.999261 437217.233901,91224.601482 437223.015799,91226.487799 437229.069203,91227.630705 437235.305842,91228.013535 437241.634771,91227.630705 437247.963699,91226.487799 437254.200338,91224.601482 437260.253742,91221.999261 437266.03564,91218.719082 437271.461718,91214.808778 437276.452852,91210.32537 437280.93626,91205.334236 437284.846564,91199.908158 437288.126743,91194.12626 437290.728964,91188.072856 437292.615281,91181.836217 437293.758187,91175.507289 437294.141017,91169.17836 437293.758187,91162.941721 437292.615281,91156.888317 437290.728964,91151.106419 437288.126743,91145.680341 437284.846564,91140.689207 437280.93626,91136.205799 437276.452852,91132.295495 437271.461718,91129.015316 437266.03564,91126.413095 437260.253742,91124.526778 437254.200338,91123.383872 437247.963699,91123.001042 437241.634771,91123.383872 437235.305842,91124.526778 437229.069203,91126.413095 437223.015799,91129.015316 437217.233901,91132.295495 437211.807823,91136.205799 437206.816689,91140.689207 437202.333281,91145.680341 437198.422977,91151.106419 437195.142798,91156.888317 437192.540577,91162.941721 437190.65426,91169.17836 437189.511354))","582",A_GELUID,"21",A_GELUID,milieu
"POLYGON ((91440.000645 436531.826521,91443.458596 436479.107694,91441.729621 436453.116087,91430.31838 436399.171242,91298.916216 436348.659251,91313.093819 436314.330713,91257.420797 436289.810329,91252.92546 436282.454213,91226.990822 436281.228193,91236.673087 436327.326516,91236.29237 436352.434164,91228.749886 436410.788878,91219.729124 436475.674841,91275.525591 436489.898493,91280.436627 436491.150415,91440.000645 436531.826521),(91339.095479 436383.01404,91345.424408 436382.63121,91351.753336 436383.01404,91357.989975 436384.156946,91364.043379 436386.043263,91369.825277 436388.645484,91375.251355 436391.925663,91380.242489 436395.835967,91384.725897 436400.319375,91388.636201 436405.310509,91391.91638 436410.736587,91394.518601 436416.518485,91396.404918 436422.571889,91397.547824 436428.808528,91397.930654 436435.137457,91397.547824 436441.466385,91396.404918 436447.703024,91394.518601 436453.756428,91391.91638 436459.538326,91388.636201 436464.964404,91384.725897 436469.955538,91380.242489 436474.438947,91375.251355 436478.34925,91369.825277 436481.629429,91364.043379 436484.23165,91357.989975 436486.117967,91351.753336 436487.260874,91345.424408 436487.643703,91339.095479 436487.260874,91332.85884 436486.117967,91326.805436 436484.23165,91321.023538 436481.629429,91315.59746 436478.34925,91310.606326 436474.438947,91306.122918 436469.955538,91302.212614 436464.964404,91298.932435 436459.538326,91296.330214 436453.756428,91294.443897 436447.703024,91293.300991 436441.466385,91292.918161 436435.137457,91293.300991 436428.808528,91294.443897 436422.571889,91296.330214 436416.518485,91298.932435 436410.736587,91302.212614 436405.310509,91306.122918 436400.319375,91310.606326 436395.835967,91315.59746 436391.925663,91321.023538 436388.645484,91326.805436 436386.043263,91332.85884 436384.156946,91339.095479 436383.01404))","582",A_GELUID,"21",A_GELUID,milieu
"POLYGON ((91147.544385 436904.04596,91147.89018 436858.192842,91153.077107 436773.352313,91162.759372 436689.492599,91170.366865 436632.360102,90987.441223 436598.031565,90933.842972 436585.035762,90928.310249 436667.179048,90928.656044 436748.096317,90927.272864 436774.333127,90922.085936 436949.653875,90969.805669 436964.366106,90988.478608 436968.779775,91045.880605 436990.602917,91066.628316 436999.185051,91148.58177 436992.809751,91147.544385 436944.504595,91147.544385 436904.04596),(91035.367421 436758.501909,91041.696349 436758.11908,91048.025278 436758.501909,91054.261917 436759.644816,91060.315321 436761.531133,91066.097219 436764.133354,91071.523297 436767.413533,91076.514431 436771.323836,91080.997839 436775.807245,91084.908143 436780.798379,91088.188322 436786.224457,91090.790543 436792.006355,91092.67686 436798.059759,91093.819766 436804.296398,91094.202596 436810.625326,91093.819766 436816.954255,91092.67686 436823.190894,91090.790543 436829.244298,91088.188322 436835.026196,91084.908143 436840.452274,91080.997839 436845.443408,91076.514431 436849.926816,91071.523297 436853.83712,91066.097219 436857.117299,91060.315321 436859.71952,91054.261917 436861.605837,91048.025278 436862.748743,91041.696349 436863.131573,91035.367421 436862.748743,91029.130782 436861.605837,91023.077378 436859.71952,91017.29548 436857.117299,91011.869402 436853.83712,91006.878268 436849.926816,91002.394859 436845.443408,90998.484556 436840.452274,90995.204377 436835.026196,90992.602156 436829.244298,90990.715839 436823.190894,90989.572932 436816.954255,90989.190103 436810.625326,90989.572932 436804.296398,90990.715839 436798.059759,90992.602156 436792.006355,90995.204377 436786.224457,90998.484556 436780.798379,91002.394859 436775.807245,91006.878268 436771.323836,91011.869402 436767.413533,91017.29548 436764.133354,91023.077378 436761.531133,91029.130782 436759.644816,91035.367421 436758.501909))","582",A_GELUID,"21",A_GELUID,milieu
"POLYGON ((91388.207635 436931.509194,91383.012474 436877.100877,91383.012474 436831.760614,91385.41024 436799.1723,91391.404658 436766.583985,91396.999447 436734.279047,91410.98642 436681.570991,91195.187404 436638.214364,91187.994104 436728.328138,91178.403036 436830.910484,91176.804525 436896.653866,91176.404897 436940.577247,91179.60192 437045.14323,91245.140879 437069.230245,91299.889889 437085.382714,91359.034804 437098.418039,91414.183443 437110.886612,91388.207635 436931.509194),(91279.975546 436802.392287,91286.304474 436802.009457,91292.633403 436802.392287,91298.870042 436803.535193,91304.923446 436805.421511,91310.705344 436808.023732,91316.131422 436811.30391,91321.122556 436815.214214,91325.605964 436819.697622,91329.516268 436824.688756,91332.796447 436830.114834,91335.398668 436835.896732,91337.284985 436841.950137,91338.427891 436848.186775,91338.810721 436854.515704,91338.427891 436860.844633,91337.284985 436867.081271,91335.398668 436873.134676,91332.796447 436878.916573,91329.516268 436884.342652,91325.605964 436889.333786,91321.122556 436893.817194,91316.131422 436897.727498,91310.705344 436901.007676,91304.923446 436903.609897,91298.870042 436905.496214,91292.633403 436906.639121,91286.304474 436907.02195,91279.975546 436906.639121,91273.738907 436905.496214,91267.685503 436903.609897,91261.903605 436901.007676,91256.477527 436897.727498,91251.486393 436893.817194,91247.002985 436889.333786,91243.092681 436884.342652,91239.812502 436878.916573,91237.210281 436873.134676,91235.323964 436867.081271,91234.181058 436860.844633,91233.798228 436854.515704,91234.181058 436848.186775,91235.323964 436841.950137,91237.210281 436835.896732,91239.812502 436830.114834,91243.092681 436824.688756,91247.002985 436819.697622,91251.486393 436815.214214,91256.477527 436811.30391,91261.903605 436808.023732,91267.685503 436805.421511,91273.738907 436803.535193,91279.975546 436802.392287))","582",A_GELUID,"21",A_GELUID,milieu
"POLYGON ((90851.057549 436594.061422,90848.006035 436592.216527,90847.623467 436596.206573,90851.057549 436594.061422))","582",A_CONTOUR_GELUID,"12",A_CONTOUR_GELUID,milieu
"POLYGON ((90193.595966 436878.717355,90191.980196 436875.538571,90189.546947 436878.72387,90193.595966 436878.717355))","582",A_CONTOUR_GELUID,"12",A_CONTOUR_GELUID,milieu
"POLYGON ((90926.921686 436544.550884,90923.832341 436542.770062,90923.533111 436546.767222,90926.921686 436544.550884))","582",A_CONTOUR_GELUID,"12",A_CONTOUR_GELUID,milieu
"POLYGON ((91436.039321 436385.828755,91434.263385 436382.235305,91432.473667 436385.867316,91436.039321 436385.828755))","582",A_CONTOUR_GELUID,"12",A_CONTOUR_GELUID,milieu
"POLYGON ((84480.881474 428822.879422,84475.320409 428817.128374,84472.444884 428819.908907,84470.215518 428817.603379,84470.044365 428827.79433,84480.235316 428827.965483,84478.00595 428825.659955,84480.881474 428822.879422))","584",A_CONTOUR_GELUID,"12",A_CONTOUR_GELUID,milieu
"POLYGON ((86227.616345 430061.837245,86222.055281 430056.086198,86219.179756 430058.866731,86216.95039 430056.561202,86216.779237 430066.752154,86226.970188 430066.923307,86224.740822 430064.617778,86227.616345 430061.837245))","584",A_CONTOUR_GELUID,"12",A_CONTOUR_GELUID,milieu
"POLYGON ((85995.930313 430831.820015,85990.860449 430831.579075,85995.929317 430831.823481,85995.930313 430831.820015))","585",A_KEURSTROOK,"41",A_KEURSTROOK,diversen
"POLYGON ((85913.217636 430730.336203,85913.208333 430730.335855,85914.035902 430735.37033,85913.217636 430730.336203))","585",A_KEURSTROOK,"41",A_KEURSTROOK,diversen
"POLYGON ((85829.831431 429743.208634,85829.817519 429731.185375,85829.812053 429731.189033,85829.828521 429743.210581,85829.831431 429743.208634))","585",A_KEURSTROOK,"41",A_KEURSTROOK,diversen
"POLYGON ((85829.806262 429721.456921,85829.790471 429715.433924,85829.798704 429721.44388,85829.806262 429721.456921))","585",A_KEURSTROOK,"41",A_KEURSTROOK,diversen
"POLYGON ((85950.476037 429918.024827,85950.473435 429918.02327,85947.385 429923.452,85949.336932 429924.580117,85947.389999 429923.45,85950.476037 429918.024827))","585",A_KEURSTROOK,"41",A_KEURSTROOK,diversen
"POLYGON ((92269.396252 434733.133538,92249.544711 434682.69672,92017.109697 434773.44293,91976.070049 434810.839355,91988.632673 434842.747964,92269.396252 434733.133538))","586",A_LIGPL_SSROTTERDAM_TOEGEST,"43",A_LIGPL_SSROTTERDAM_TOEGEST,diversen
"POLYGON ((60711.810821 443660.333775,60697.154882 443625.813318,60697.799 443627.368,60699.329 443631.042,60700.865 443634.714,60702.408 443638.383,60703.958 443642.049,60705.515 443645.712,60707.079 443649.372,60708.649 443653.029,60710.227 443656.683,60711.810821 443660.333775))","587",A_KADE,"39",A_KADE,diversen
"POLYGON ((58867.360909 438313.757684,58861.08684 438291.376679,58861.551 438293.156,58863.42 438300.042,58865.357 438306.91,58867.360909 438313.757684))","587",A_CHEMIE,"11",A_CHEMIE,milieu
"POLYGON ((86862.32117 441618.655047,86864.900347 441615.189279,86861.845545 441612.134477,86860.369322 441610.658254,86855.009015 441607.723117,86851.107843 441605.592478,86849.189061 441604.543144,86847.27199 441603.494746,86845.657259 441602.608886,86844.653962 441601.93562,86843.767171 441601.114952,86840.367001 441597.781097,86843.881017 441587.914823,86841.296979 441586.874496,86842.335732 441585.984452,86843.451141 441585.192585,86846.611432 441584.167595,86849.866009 441583.499928,86853.535868 441583.404457,86857.165869 441583.952248,86860.644131 441585.126418,86863.863451 441586.890778,86864.25898 441586.26295,86868.692998 441585.263403,86872.938398 441587.952221,86880.949109 441575.585971,86876.655388 441572.855041,86875.650124 441568.351358,86876.733616 441566.651183,86868.802504 441563.323925,86862.293729 441561.308841,86855.601942 441560.026381,86850.993474 441559.920956,86846.397029 441560.269923,86841.857299 441561.069889,86837.418428 441562.313076,86833.568143 441563.858776,86829.937499 441565.866836,86826.58176 441568.306692,86823.552004 441571.141204,86819.771858 441575.044704,86818.393839 441575.872074,86816.920264 441576.213992,86815.724829 441576.111869,86806.857343 441571.225971,86799.681523 441567.198813,86798.563196 441566.062203,86797.143901 441565.33547,86796.978579 441565.278158,86796.815759 441565.214082,86800.787644 441556.869793,86810.594066 441536.310828,86817.499473 441523.334909,86818.131223 441520.492391,86818.304876 441517.585699,86832.676097 441488.05459,86852.827433 441447.26213,86872.226098 441406.455653,86876.150169 441400.630573,86879.672097 441394.553904,86882.775818 441388.253365,86885.447173 441381.757694,86894.488366 441364.511545,86897.737875 441358.31308,86892.028652 441355.173901,86890.769982 441354.474639,86883.016394 441351.378159,86803.676629 441515.523408,86789.918653 441544.428725,86782.721117 441558.980243,86775.812797 441555.410156,86769.297041 441551.165709,86769.025756 441551.016812,86738.360602 441534.185938,86728.258051 441528.430181,86705.207446 441515.67558,86658.573366 441491.336918,86649.513122 441486.712106,86640.023262 441481.596791,86619.213607 441471.091725,86608.814008 441465.781139,86590.141683 441456.246062,86573.982989 441447.831534,86546.254587 441433.808748,86545.127393 441433.238704,86502.693756 441411.276822,86487.708598 441403.729334,86462.579432 441390.367,86449.327334 441383.150314,86440.013271 441377.65153,86435.597675 441375.150546,86426.364205 441369.920731,86416.618473 441364.281628,86409.71292 441360.436377,86403.153318 441356.460558,86401.941853 441355.793079,86395.416244 441352.19768,86383.516082 441344.888597,86370.798916 441339.434007,86368.019947 441338.143435,86347.780186 441327.590911,86284.27005 441294.163472,86281.486632 441292.54852,86272.493389 441287.006521,86264.300385 441282.269623,86258.763515 441279.31044,86254.116227 441277.073932,86243.871191 441270.67202,86240.539782 441268.820019,86239.405424 441268.306347,86213.051161 441254.760973,86193.193493 441244.378789,86190.661097 441242.970853,86187.380891 441240.962969,86175.9668 441234.47769,86154.602278 441221.04742,86146.516387 441216.374669,86146.397978 441216.309512,86140.764936 441213.209849,86130.290413 441207.665697,86123.929276 441204.403575,86109.85655 441197.909244,86101.953038 441194.085281,86094.416523 441190.036251,86080.251188 441182.258052,86078.955289 441181.318525,86078.660449 441180.98361,86078.597669 441180.826262,86078.549713 441180.6161,86078.880954 441178.2686,86078.814554 441176.501766,86078.137368 441174.868508,86076.934073 441173.573057,86075.355135 441172.777402,86073.597992 441172.581034,86071.882365 441173.008509,86070.422783 441174.006373,86069.401759 441175.449849,86063.057571 441189.003297,86062.611302 441190.631447,86062.732309 441192.315308,86063.406799 441193.862917,86064.557877 441195.097845,86066.054321 441195.879309,86069.288876 441196.919796,86070.474481 441197.30118,86070.976006 441197.521444,86071.58655 441197.789588,86079.90134 441202.032703,86084.836808 441204.551319,86086.753979 441205.758171,86087.499812 441206.22767,86088.19118 441206.630068,86090.318644 441207.868318,86091.928954 441208.630532,86093.413196 441209.333073,86100.037114 441212.826352,86107.829352 441216.935772,86112.08607 441218.983308,86115.912808 441220.824017,86120.764244 441222.897452,86121.429987 441223.206547,86122.843778 441223.86295,86125.122802 441225.033991,86126.388406 441225.805586,86127.67304 441226.588782,86144.89824 441236.916755,86146.874041 441238.101415,86149.131786 441239.594586,86150.513601 441240.669331,86153.375492 441242.685663,86153.769655 441242.963369,86158.037314 441245.728478,86164.190569 441249.326395,86167.915111 441251.425308,86171.494182 441253.442243,86181.872287 441259.110363,86183.729541 441260.060876,86190.780872 441263.669639,86203.598349 441270.680739,86216.702938 441277.848889,86238.369093 441289.414202,86268.434195 441304.706625,86280.073711 441311.02009,86309.993058 441326.764484,86325.798401 441335.436443,86336.557931 441341.190516,86340.528409 441343.313882,86354.403069 441350.362984,86359.144272 441352.77178,86360.599015 441353.553229,86374.00474 441360.754429,86386.722613 441367.729372,86387.053882 441367.911052,86387.433396 441368.128703,86396.730648 441373.460668,86403.627892 441377.174305,86416.911286 441384.326396,86431.397574 441392.541505,86438.580435 441396.614874,86446.438274 441401.279153,86455.457772 441406.632972,86462.669807 441410.515616,86466.70627 441413.134919,86473.498957 441417.192089,86486.989623 441424.558902,86494.711157 441428.523215,86494.832366 441428.585445,86502.841766 441432.899735,86515.928925 441439.698649,86519.636426 441441.658863,86544.593645 441454.854135,86558.536889 441462.629216,86562.326577 441464.692653,86568.839318 441468.238759,86575.921332 441472.348322,86580.545333 441474.916075,86586.792764 441478.154377,86593.445804 441481.937863,86602.091286 441487.026976,86604.758024 441488.51827,86608.844674 441490.803609,86622.282951 441498.037298,86632.920638 441504.060689,86632.955846 441504.081397,86649.437467 441513.774706,86654.53508 441516.639841,86656.568894 441517.782955,86661.828378 441520.493962,86672.892953 441526.19721,86687.383678 441533.147558,86692.905343 441535.99146,86698.389355 441539.022873,86701.993642 441541.105958,86703.676998 441542.078849,86713.581498 441547.389827,86747.631253 441565.647941,86752.523047 441568.316681,86756.761596 441570.62904,86782.665107 441584.211368,86813.920175 441600.834512,86835.537158 441612.331598,86835.556402 441612.341834,86838.448338 441613.737578,86841.228077 441615.3452,86843.550214 441616.86906,86845.782638 441618.521557,86846.746069 441618.779673,86856.377162 441621.359965,86859.654735 441622.238069,86861.681161 441619.51506,86862.32117 441618.655047),(86067.587365 441191.120131,86073.93 441177.57,86073.47 441180.83,86073.81 441182.32,86074.13 441183.12,86074.54 441183.87,86075.57 441185.04,86077.57 441186.49,86092.03 441194.43,86099.68 441198.54,86107.72 441202.43,86121.74 441208.9,86127.98 441212.1,86138.39 441217.61,86144.06 441220.73,86152.02 441225.33,86173.4 441238.77,86184.84 441245.27,86188.14 441247.29,86190.82 441248.78,86210.75 441259.2,86237.23 441272.81,86238.29 441273.29,86241.33 441274.98,86251.7 441281.46,86256.5 441283.77,86261.87 441286.64,86269.93 441291.3,86278.92 441296.84,86281.85 441298.54,86345.46 441332.02,86365.81 441342.63,86368.76 441344.0,86381.21 441349.34,86392.9 441356.52,86400.65 441360.79,86407.2 441364.76,86414.15 441368.63,86423.88 441374.26,86437.51 441381.98,86446.86 441387.5,86460.21 441394.77,86485.41 441408.17,86500.42 441415.73,86542.85 441437.69,86571.7 441452.28,86587.85 441460.69,86616.95 441475.55,86637.71 441486.03,86647.19 441491.14,86656.28 441495.78,86702.84 441520.08,86725.81 441532.79,86735.92 441538.55,86766.619999 441555.399999,86772.037691 441558.98299,86777.720478 441562.128646,86783.633129 441564.817466,86784.523887 441564.902513,86785.34548 441564.548016,86785.894757 441563.841633,86794.417123 441546.611659,86806.00829 441522.258777,86808.582161 441517.961188,86809.2879 441517.135568,86810.312616 441516.775465,86811.379697 441516.978083,86812.262383 441517.429674,86812.918897 441518.172683,86813.258361 441519.10426,86813.1027 441520.282584,86812.842699 441521.44236,86806.12851 441534.058962,86796.273875 441554.719005,86790.725738 441566.374745,86792.056121 441567.97299,86793.71006 441569.233464,86795.603879 441570.092395,86795.384044 441570.520599,86804.427325 441575.595799,86814.241608 441581.003372,86817.281325 441581.263049,86820.291815 441580.564515,86822.907645 441578.993956,86827.166254 441574.596379,86830.675213 441571.441125,86834.654819 441568.905154,86838.996951 441567.057368,86844.255976 441565.673199,86849.650306 441564.984375,86855.088408 441565.002583,86861.108027 441566.166299,86866.966037 441567.97566,86869.328834 441568.9669,86868.914063 441569.617743,86869.695723 441570.136812,86871.139635 441571.095656,86872.226205 441575.963604,86874.011508 441577.099107,86871.432667 441581.080101,86869.616405 441579.929773,86864.816422 441581.011818,86863.35386 441580.095033,86862.551919 441579.592348,86862.098488 441580.312084,86857.924891 441578.995162,86853.58919 441578.399442,86849.215075 441578.541918,86845.137696 441579.385953,86841.19 441580.71,86838.068559 441583.049579,86835.46 441585.95,86835.27 441587.54,86835.19 441587.88,86836.79 441590.45,86837.56 441590.76,86836.26 441594.41,86835.45 441594.13,86835.37 441594.29,86835.18 441594.21,86833.08 441597.91,86834.55 441599.08,86840.19 441604.61,86841.620222 441605.910642,86843.230387 441606.98049,86844.87 441607.88,86848.71 441609.98,86852.61 441612.11,86857.34 441614.7,86858.31 441615.67,86857.67 441616.53,86848.039999 441613.95,86845.989017 441612.476997,86843.87164 441611.101139,86840.864867 441609.359549,86837.74 441607.84,86785.0 441579.79,86759.12 441566.22,86750.01 441561.25,86706.11 441537.71,86700.85 441534.67,86695.26 441531.58,86689.61 441528.67,86675.12 441521.72,86658.94 441513.38,86651.93 441509.44,86635.42 441499.73,86624.7 441493.66,86611.25 441486.42,86604.58 441482.69,86595.95 441477.61,86589.18 441473.76,86582.91 441470.51,86578.39 441468.0,86571.29 441463.88,86560.95 441458.25,86546.98 441450.46,86518.25 441435.27,86505.18 441428.48,86497.16 441424.16,86489.33 441420.14,86475.98 441412.85,86469.35 441408.89,86465.22 441406.21,86457.92 441402.28,86441.09 441392.29,86419.33 441379.95,86399.16 441369.09,86389.5 441363.55,86376.39 441356.36,86361.46 441348.34,86342.84 441338.88,86328.18 441331.04,86312.36 441322.36,86282.43 441306.61,86270.76 441300.28,86240.68 441284.98,86219.08 441273.45,86193.12 441259.25,86184.21 441254.69,86173.92 441249.07,86166.68 441244.99,86160.66 441241.47,86156.57 441238.82,86153.49 441236.65,86152.05 441235.53,86149.54 441233.87,86130.26 441222.31,86127.57 441220.67,86125.04 441219.37,86122.8 441218.33,86117.98 441216.27,86110.08 441212.47,86095.65 441204.86,86092.65 441203.44,86090.09 441201.95,86087.31 441200.2,86073.73 441193.27,86072.25 441192.62,86070.82 441192.16,86067.587365 441191.120131),(86814.212236 441505.215856,86885.49 441357.75,86888.62 441359.0,86889.61 441359.55,86891.033638 441360.332778,86890.06 441362.19,86880.87 441379.72,86878.26829 441386.085957,86875.230879 441392.255919,86871.772426 441398.20011,86867.909622 441403.889842,86848.327894 441445.081405,86828.186688 441485.853359,86817.632242 441507.54146,86816.779666 441507.599761,86815.956439 441507.37046,86814.777807 441506.541301,86814.212236 441505.215856))","588",A_KEURSTROOK,"41",A_KEURSTROOK,diversen
"POLYGON ((86789.314322 441735.615319,86790.83182 441734.838443,86791.999953 441733.596752,86792.682827 441732.034696,86792.801 441730.334,86792.104 441723.503,86791.595355 441721.759719,86790.497547 441720.31315,86788.955437 441719.354171,86787.172511 441719.009324,86785.384033 441719.324113,86783.826 441720.257,86782.232198 441721.168934,86780.408 441721.379,86762.899 441718.902,86751.121 441716.454,86715.341 441707.584,86702.028 441703.886,86667.258 441695.151,86618.521 441682.909,86600.106 441678.658,86545.557 441665.093,86542.332 441664.09,86541.307 441663.588,86540.840412 441663.388783,86540.356 441663.238,86528.384 441660.156,86526.48 441660.348,86523.85 441659.697,86521.589 441658.624,86513.183 441656.072,86503.084 441653.368,86497.533 441652.172,86485.609 441648.803,86470.357 441645.56,86461.005 441643.939,86452.887 441642.219,86423.041 441634.509,86403.337 441629.064,86353.67 441617.429,86290.991 441601.936,86269.077 441596.12,86255.814 441591.86,86250.125 441590.156,86240.178 441586.624,86233.798 441584.646,86224.325 441582.107,86219.135 441580.83,86194.334 441574.076,86183.276 441571.283,86109.552 441553.888,86090.687 441549.975,86068.832 441544.964,86061.835 441543.132,86027.618 441531.894,86013.137 441525.104,86001.517 441521.406,85984.404 441515.956,85976.64 441514.568,85975.989476 441514.495021,85975.335 441514.508,85974.884 441514.547,85971.687 441514.345,85967.322 441513.64,85967.14575 441511.827437,85966.332102 441510.198197,85964.988974 441508.968378,85963.294516 441508.3011,85961.473477 441508.284869,85959.767395 441508.921838,85958.402559 441510.127521,85957.56 441511.742,85954.04 441523.202,85953.834997 441525.066105,85954.331269 441526.874593,85955.458983 441528.372985,85957.059455 441529.350434,85958.907474 441529.6694,85960.743 441529.285,85960.885 441529.226,85971.88 441532.508,85979.243 441533.766,85987.856 441537.06,85999.729 441537.703,86003.644 441537.915,86005.729 441538.461,86006.62 441538.862,86010.837 441543.089,86016.472 441546.869,86021.33 441548.922,86026.134 441549.737,86035.967 441550.035,86040.287 441550.886,86048.564 441554.585,86054.771 441556.39,86061.21 441558.27,86094.319 441565.422,86102.69 441567.648,86104.417 441567.787,86114.618 441570.558,86122.728 441572.198,86127.084 441573.573,86137.433 441575.732,86160.828 441582.19,86171.946 441585.619,86234.19 441602.851,86278.979 441614.379,86367.874 441636.758,86394.797 441642.659,86400.248 441644.239,86402.493 441644.434,86451.825 441657.373,86467.591 441661.289,86502.427 441670.758,86599.659 441695.084,86639.571 441704.857,86685.601 441716.128,86692.974 441717.518,86697.842894 441718.443976,86702.644 441719.674,86723.325468 441725.362123,86744.122 441730.614,86764.42 441735.031,86770.4 441735.696,86775.199 441735.404,86777.314622 441735.300991,86779.423 441735.504,86787.624 441735.837,86789.314322 441735.615319),(86786.56 441730.79,86779.92 441730.52,86777.262706 441730.30004,86774.6 441730.44,86770.53 441730.68,86765.23 441730.09,86745.24 441725.74,86725.176315 441720.67903,86705.22 441715.21,86699.534513 441713.701035,86693.76 441712.58,86686.66 441711.24,86640.76 441700.0,86600.86 441690.23,86503.69 441665.92,86468.85 441656.45,86453.03 441652.52,86403.35 441639.49,86401.17 441639.3,86396.03 441637.81,86369.02 441631.89,86280.2 441609.53,86235.48 441598.02,86173.35 441580.82,86162.23 441577.39,86138.61 441570.87,86128.35 441568.73,86123.98 441567.35,86115.77 441565.69,86105.28 441562.84,86103.54 441562.7,86095.49 441560.56,86062.44 441553.42,86056.17 441551.59,86050.29 441549.88,86041.81 441546.09,86036.53 441545.05,86026.63 441544.75,86022.74 441544.09,86018.86 441542.45,86014.03 441539.21,86009.51 441534.68,86007.4 441533.73,86004.42 441532.95,86000.0 441532.71,85988.91 441532.11,85980.57 441528.92,85973.02 441527.63,85961.26 441524.12,85960.26 441524.07,85958.82 441524.67,85962.34 441513.21,85961.93 441515.24,85962.11 441516.99,85963.89 441518.15,85971.13 441519.32,85974.94 441519.56,85975.76 441519.49,85983.2 441520.82,86000.0 441526.17,86011.31 441529.77,86025.77 441536.55,86060.42 441547.93,86067.64 441549.82,86089.62 441554.86,86108.47 441558.77,86182.09 441576.14,86193.02 441578.9,86217.88 441585.67,86223.08 441586.95,86232.41 441589.45,86238.6 441591.37,86248.57 441594.91,86254.38 441596.65,86267.67 441600.92,86289.75 441606.78,86352.5 441622.29,86402.1 441633.91,86421.75 441639.34,86451.85 441647.11,86460.06 441648.85,86469.41 441650.47,86484.41 441653.66,86496.48 441657.06,86501.91 441658.23,86511.81 441660.88,86519.78 441663.3,86522.16 441664.43,86526.12 441665.41,86528.0 441665.22,86539.11 441668.08,86540.48 441668.75,86544.21 441669.91,86598.94 441683.52,86617.35 441687.77,86666.04 441700.0,86700.75 441708.72,86714.07 441712.42,86750.01 441721.33,86762.04 441723.83,86779.97 441726.36,86782.541159 441726.238359,86784.986835 441725.435659,86787.13 441724.01,86787.64 441729.01,86786.950448 441729.80926,86786.56 441730.79))","588",A_KEURSTROOK,"41",A_KEURSTROOK,diversen
