WKT,PLANID,LAAG,OID_,LAAG_1,LEGENDA
"POLYGON ((91839.423141 433988.839225,91840.262738 433987.475334,91840.75805 433985.792695,91840.892874 433984.043859,91840.661324 433982.305185,91839.872195 433977.805013,91839.290568 433976.280362,91839.239066 433974.356971,91838.465056 433972.59544,91802.338748 433920.692009,91795.694964 433911.334719,91794.374171 433909.549009,91793.011281 433907.795216,91792.981683 433907.758407,91790.884382 433905.164112,91788.797965 433902.561056,91773.909058 433883.447568,91731.605616 433830.250964,91722.800768 433818.541469,91714.136919 433806.683595,91705.524672 433794.78819,91701.38395 433788.947195,91697.268277 433783.088524,91697.181076 433782.963441,91693.399368 433777.531607,91689.639125 433772.084892,91680.691405 433758.753109,91674.078777 433748.952108,91667.155826 433739.367785,91667.149826 433739.359769,91667.14381 433739.351765,91659.499548 433729.239735,91651.820116 433719.154388,91646.294887 433712.029911,91640.882072 433704.819657,91640.825948 433704.743505,91638.108582 433700.985469,91635.458609 433697.179611,91635.283478 433696.92579,91630.652902 433689.940058,91626.279296 433682.790634,91626.179114 433682.619846,91624.639272 433679.963484,91623.126446 433677.291644,91623.109724 433677.262117,91620.535451 433672.563059,91618.044732 433667.819185,91614.167496 433659.848258,91610.51366 433651.772485,91604.022063 433636.71188,91593.211642 433611.630906,91592.403967 433610.341731,91591.246001 433609.355107,91589.844939 433608.762369,91588.330481 433608.618389,91584.839786 433596.822246,91580.614872 433582.54495,91572.865835 433556.358548,91570.361162 433547.894483,91572.39922 433545.402638,91573.839849 433542.523826,91574.490746 433539.799968,91574.525897 433536.999642,91574.473654 433536.477299,91574.42032 433535.955066,91574.278491 433534.739165,91574.135471 433533.523403,91574.124869 433533.439721,91574.112856 433533.356231,91572.982856 433525.946231,91572.973785 433525.888977,91572.964051 433525.831832,91569.704194 433507.342636,91566.379058 433488.447105,91564.489454 433475.200842,91563.113519 433464.897007,91561.934844 433454.568748,91561.037141 433445.322406,91560.155923 433436.029915,91559.882983 433433.00783,91559.65921 433429.981707,91559.65639 433429.941346,91559.39714 433426.361586,91559.1485 433422.781074,91552.526138 433334.137942,91551.471847 433321.404337,91550.985916 433316.285325,91550.40423 433311.176309,91549.775744 433305.947717,91549.179884 433300.715306,91548.300134 433292.714318,91546.762082 433279.032367,91546.328544 433275.551282,91545.768851 433272.088242,91545.661796 433271.503406,91544.997281 433267.707688,91544.363565 433263.906707,91542.641783 433253.530255,91540.854586 433243.164869,91540.852023 433243.150407,91539.988402 433238.380377,91539.10355 433233.61424,91539.102386 433233.608089,91539.101216 433233.601939,91538.237778 433229.124112,91537.362752 433224.648536,91535.850482 433218.128154,91533.986905 433211.699357,91531.570978 433204.126698,91530.469274 433200.892748,91529.240122 433197.705057,91527.943128 433194.545368,91526.636517 433191.389644,91525.699178 433189.924199,91524.316492 433188.86859,91522.655827 433188.350592,91520.918198 433188.432907,91519.840474 433188.67638,91517.774031 433178.874932,91515.491608 433178.994013,91507.665392 433179.402331,91510.086965 433190.888218,91508.596749 433191.576524,91507.409746 433192.710337,91485.907148 433193.618899,91487.173532 433205.478152,91507.42203 433204.61036,91507.534112 433205.563063,91512.402476 433231.564551,91516.771129 433255.746385,91524.102225 433308.896835,91526.687951 433336.285635,91528.512192 433360.140336,91530.101165 433384.964288,91533.655364 433435.734286,91533.798062 433437.331869,91533.944425 433438.92912,91534.845546 433447.997359,91535.864826 433457.053078,91548.589398 433540.450163,91549.159353 433542.591414,91550.116847 433544.589666,91550.784943 433545.670981,91551.480887 433546.734586,91553.042611 433548.592998,91554.961296 433550.08005,91557.150549 433551.128786,91559.511795 433551.691983,91559.831832 433552.776643,91569.608437 433585.911145,91573.818529 433600.179833,91577.382156 433612.257541,91576.160822 433613.350077,91575.358305 433614.778802,91575.060805 433616.390255,91575.300276 433618.011348,91585.190456 433648.751906,91586.420806 433652.572996,91589.130977 433660.983525,91589.154323 433661.054173,91589.178719 433661.124465,91590.220283 433664.026656,91591.279704 433666.922377,91592.988808 433671.297517,91594.846655 433675.611597,91595.310953 433676.629696,91595.783545 433677.643971,91597.362966 433680.984306,91599.036833 433684.278328,91599.061331 433684.325505,91599.984228 433686.046154,91600.932906 433687.752725,91602.914357 433691.331278,91604.861318 433694.928711,91604.934647 433695.060926,91605.574054 433696.209895,91606.244656 433697.340941,91606.312102 433697.454811,91607.948696 433700.08807,91609.62774 433702.694467,91609.879821 433703.088734,91610.139697 433703.477907,91610.510189 433704.034162,91610.539557 433704.077701,91610.56938 433704.12093,91615.486946 433711.16172,91654.293447 433764.509149,91662.655173 433776.197583,91681.579011 433802.971313,91704.360512 433834.307883,91720.694549 433855.698647,91732.641292 433870.955572,91761.629557 433907.098345,91763.035335 433908.916588,91771.416839 433919.896865,91784.704254 433938.779504,91793.137839 433951.23487,91806.118441 433969.522583,91816.600043 433983.148666,91821.019753 433988.717112,91822.551142 433990.504965,91824.454119 433991.890698,91827.091605 433992.921251,91829.911356 433993.180821,91832.692657 433992.649091,91835.217803 433991.367682,91835.785181 433991.093295,91836.678405 433990.769663,91838.195376 433989.867678,91839.423141 433988.839225),(91588.24 433613.66,91588.62 433613.61,91599.43 433638.69,91605.930003 433653.770007,91609.641529 433661.973259,91613.579999 433670.069999,91616.120131 433674.909247,91618.745791 433679.702627,91620.510721 433682.814949,91622.311712 433685.906544,91626.695678 433693.033375,91631.330002 433700.0,91634.059925 433703.919895,91636.859994 433707.789992,91642.308534 433715.048078,91647.870001 433722.220002,91655.527505 433732.276711,91663.149991 433742.359988,91669.988485 433751.827831,91676.519999 433761.509999,91685.06 433774.250001,91689.103078 433780.110609,91693.171 433785.954,91697.302913 433791.83588,91701.459996 433797.699995,91710.089134 433809.61881,91718.770001 433821.500001,91727.65 433833.31,91769.98 433886.54,91782.974 433903.221,91784.89 433905.68,91786.989523 433908.299407,91789.099998 433910.909998,91790.38992 433912.569894,91791.639999 433914.259999,91798.25 433923.57,91834.36 433975.45,91833.979267 433975.872006,91834.0 433976.439999,91835.03 433979.14,91835.77 433983.36,91835.886876 433984.02651,91835.853499 433984.81266,91835.639999 433985.569999,91834.53 433986.23,91833.84 433986.48,91832.62 433987.07,91831.116796 433987.90353,91829.422469 433988.192748,91827.727878 433987.905073,91826.223917 433987.072911,91825.080002 433985.790003,91820.54 433980.07,91810.14 433966.55,91797.25 433948.39,91796.21 433946.85,91788.82 433935.94,91775.45 433916.94,91767.0 433905.87,91765.53 433903.97,91736.56 433867.85,91724.65 433852.64,91708.37 433831.32,91685.63 433800.04,91666.73 433773.3,91658.36 433761.6,91619.53 433708.22,91614.67 433701.26,91614.269999 433700.66,91614.051489 433700.332286,91613.839999 433700.0,91612.188942 433697.438329,91610.579999 433694.849999,91609.909402 433693.71896,91609.269998 433692.569997,91607.297493 433688.925421,91605.29 433685.3,91604.071621 433683.095072,91602.898 433680.866,91601.572189 433678.208399,91600.309999 433675.519999,91598.030435 433670.401037,91595.970003 433665.190009,91593.889999 433659.449999,91580.06 433616.48,91584.96 433614.79,91588.24 433613.66),(91512.48 433204.81,91511.41 433195.71,91516.0 433194.67,91522.02 433193.31,91523.249273 433196.278237,91524.469999 433199.249999,91525.690387 433202.381059,91526.779998 433205.559994,91527.93 433209.17,91529.079999 433212.77,91530.950661 433219.152518,91532.46 433225.630002,91533.330755 433230.08389,91534.190002 433234.540012,91535.070563 433239.283072,91535.93 433244.030005,91537.639984 433253.93991,91539.289996 433263.859977,91540.00056 433268.153291,91540.749998 433272.43999,91541.339968 433275.98978,91541.790001 433279.560011,91543.33 433293.26,91544.240508 433301.538402,91544.810456 433306.535912,91545.409995 433311.529959,91545.999453 433316.674784,91546.489998 433321.829981,91547.02 433328.17,91547.54 433334.51,91554.16 433423.12,91554.541328 433428.551774,91554.946977 433433.981786,91555.059268 433435.25128,91555.18 433436.519999,91556.06 433445.8,91556.96 433455.070002,91558.150288 433465.50233,91559.539995 433475.909969,91560.5 433482.57,91561.44 433489.23,91564.78 433508.21,91568.04 433526.7,91569.169999 433534.109999,91569.310578 433535.304934,91569.45 433536.500004,91569.5005 433536.994951,91569.55 433537.489999,91569.460094 433539.629489,91568.779999 433541.659999,91567.732856 433543.346318,91566.36 433544.78,91565.959709 433545.105685,91565.538041 433545.403174,91564.377594 433546.02749,91563.139999 433546.479999,91561.877908 433546.732413,91560.5915 433546.774147,91558.695471 433546.370321,91557.005525 433545.420541,91555.674798 433544.010873,91555.02389 433543.01903,91554.399988 433542.00998,91553.848537 433540.856033,91553.520001 433539.620008,91548.93 433509.51,91540.819999 433456.38,91539.649824 433445.868307,91538.639999 433435.339999,91536.884928 433410.269666,91535.09 433384.63,91533.5 433359.79,91531.67 433335.86,91529.07 433308.32,91521.71 433254.96,91517.32 433230.66,91512.48 433204.81))","574",A_KEURSTROOK,"41",A_KEURSTROOK,diversen
"POLYGON ((88034.655228 437353.756486,88035.805829 437350.985905,88038.027215 437351.908429,88035.108374 437344.843336,88028.04328 437347.762178,88030.264667 437348.684703,88029.114067 437351.455284,88034.655228 437353.756486))","576",A_CONTOUR_GELUID,"12",A_CONTOUR_GELUID,milieu
"POLYGON ((88023.096122 437062.951389,88023.333763 437059.960816,88025.731534 437060.15135,88020.771367 437054.33483,88014.954845 437059.294998,88017.352617 437059.485533,88017.114976 437062.476106,88023.096122 437062.951389))","576",A_CONTOUR_GELUID,"12",A_CONTOUR_GELUID,milieu
"POLYGON ((91119.540922 432288.394191,91111.979525 432276.844902,91109.746524 432273.516182,91111.1903 432272.545453,91108.356971 432268.311932,91108.55232 432266.346127,91108.170142 432264.407961,91107.243177 432262.66346,91098.562469 432249.908738,91089.812849 432236.04668,91068.728113 432205.548377,91065.874836 432201.308648,91045.574914 432171.75555,91033.044766 432160.953699,91024.841703 432152.750636,91016.369805 432158.420874,91019.97405 432162.025118,91024.209999 432159.189999,91029.639999 432164.619999,91041.82 432175.12,91064.58 432208.339999,91085.7 432238.889999,91094.379999 432252.649999,91103.179999 432265.58,91103.560017 432266.676758,91103.169999 432267.769999,91102.539999 432268.61,91104.26 432271.18,91101.265829 432273.193145,91099.569999 432270.66,91097.96 432270.82,91097.109578 432270.709812,91096.459994 432270.149992,91091.91 432263.329999,91089.269999 432258.659999,91087.79 432256.73,91086.139999 432254.73,91083.92 432253.93,91079.98 432252.64,91078.32 432253.859999,91077.619999 432254.33,91072.589999 432258.09,91070.029999 432255.009999,91067.929999 432253.27,91063.35 432252.21,91059.139999 432253.88,91056.309999 432256.54,91054.499999 432260.289999,91054.539999 432272.14,91055.889999 432282.499999,91056.179999 432283.849999,91056.439999 432285.209999,91056.479975 432285.559143,91056.459999 432285.909999,91056.350385 432286.668074,91056.160001 432287.409995,91055.951205 432287.768754,91055.59999 432287.990003,91054.684459 432288.189689,91053.75 432288.119999,91052.993243 432287.861567,91052.320019 432287.430015,91052.0721 432287.158447,91051.912609 432286.827123,91051.289999 432284.899999,91049.799999 432261.309999,91049.789999 432257.94,91051.599999 432255.24,91051.129999 432253.44,91041.559999 432252.51,91042.006727 432257.576966,91044.789703 432257.847412,91044.800468 432261.475159,91046.339454 432285.840722,91047.166673 432288.401161,91047.927949 432289.955949,91049.085554 432291.243139,91050.77957 432292.344922,91052.689113 432293.006183,91055.198027 432293.164304,91057.63812 432292.559658,91059.050472 432291.700998,91060.167478 432290.482667,91060.900584 432289.001252,91061.232982 432287.748024,91061.429634 432286.466463,91061.477345 432285.396636,91061.362679 432284.331903,91061.080401 432282.855373,91060.821571 432281.650471,91059.538905 432271.807196,91059.503861 432261.425547,91060.409934 432259.548324,91061.869771 432258.17618,91063.742994 432257.43312,91065.650499 432257.874595,91066.481949 432258.563511,91071.780159 432264.93792,91080.51225 432258.410551,91080.847753 432258.185286,91082.294203 432258.65887,91083.155404 432258.969212,91083.876475 432259.843238,91085.089474 432261.425054,91087.648219 432265.95132,91092.352041 432273.001882,91093.606163 432274.371364,91095.196623 432275.329872,91096.993344 432275.799014,91097.61126 432276.722025,91101.429307 432279.108305,91101.447868 432279.095825,91103.643808 432282.369297,91111.242143 432293.975008,91181.779061 432396.118883,91191.123 432394.346,91192.523864 432394.080132,91119.540922 432288.394191))","577",A_KEURSTROOK,"41",A_KEURSTROOK,diversen
"POLYGON ((91000.0 432297.58,90996.66 432279.32,90990.68 432281.78,90988.856071 432282.632474,90987.3 432283.91,90980.95 432289.69,90979.980765 432291.05824,90979.64 432292.7,90979.48 432295.68,90979.7 432302.97,90979.8 432306.72,90979.81 432310.48,90979.75 432312.28,90979.6 432314.08,90978.83 432320.69,90979.75 432333.59,90979.89 432334.47,90989.21 432333.12,90986.84 432308.29,90987.41 432301.07,90991.37 432299.99,91000.009 432297.628,91000.0 432297.58))","577",A_DUIVENTIL_TOEGEST,"17",A_DUIVENTIL_TOEGEST,diversen
"POLYGON ((90937.494181 432351.635239,90937.53 432351.63,90938.48 432360.82,90939.45 432368.47,90956.88 432366.52,90962.14 432343.948,90978.826 432340.693,90978.377003 432337.701023,90978.001 432334.699,90977.492039 432329.967388,90977.04 432325.23,90977.18 432303.59,90977.32 432300.07,90977.01 432296.34,90976.789559 432294.958098,90976.38 432293.62,90975.179285 432291.679192,90973.4 432290.25,90972.435723 432289.92937,90971.42 432289.96,90969.59 432290.4,90967.79 432290.97,90965.39 432291.87,90963.03 432292.84,90960.450275 432294.089847,90958.02 432295.61,90956.166622 432297.012809,90954.45 432298.58,90953.001637 432300.088241,90951.6 432301.64,90950.097554 432303.463058,90948.65 432305.33,90947.630359 432306.739479,90946.67 432308.19,90943.63 432312.98,90942.73 432314.58,90941.975444 432315.635035,90941.0 432316.49,90936.132 432319.919,90932.657864 432322.365475,90933.859 432328.049,90934.163 432329.488,90934.475 432333.339,90937.494181 432351.635239))","577",A_DUIVENTIL_TOEGEST,"17",A_DUIVENTIL_TOEGEST,diversen
"POLYGON ((90989.61 432381.23,90989.07 432378.6,90987.7 432378.8,90985.43 432367.52,90984.59 432364.56,90983.76 432361.59,90982.849 432358.248,90966.704 432361.397,90967.07 432365.38,90968.41 432379.95,90970.365 432401.204,90975.67 432397.79,90980.62 432394.51,90990.34 432387.98,90990.571 432387.822,90989.61 432381.23))","577",A_DUIVENTIL_TOEGEST,"17",A_DUIVENTIL_TOEGEST,diversen
"POLYGON ((90784.109467 432474.253431,90782.202284 432470.288251,90780.219693 432471.241844,90779.720587 432470.204163,90778.153015 432474.677132,90782.625984 432476.244703,90782.126877 432475.207023,90784.109467 432474.253431))","577",A_VEILIGHEIDSCONT_GASADRUKREGELSTAT,"71",A_VEILIGHEIDSCONT_GASADRUKREGELSTAT,milieu
"POLYGON ((90912.06855 432562.71675,90910.685729 432558.539693,90908.5972 432559.231104,90908.235318 432558.137976,90906.106954 432562.372925,90910.341903 432564.501289,90909.980021 432563.408161,90912.06855 432562.71675))","577",A_TOETSAFST_TRANSPLEID_GEV_STOFFEN,"69",A_TOETSAFST_TRANSPLEID_GEV_STOFFEN,milieu
"POLYGON ((90860.324763 432578.025003,90862.453128 432573.790054,90858.218179 432571.66169,90858.58006 432572.754818,90856.491531 432573.446229,90857.874353 432577.623286,90859.962882 432576.931874,90860.324763 432578.025003))","577",A_TOETSAFST_TRANSPLEID_GEV_STOFFEN,"69",A_TOETSAFST_TRANSPLEID_GEV_STOFFEN,milieu
