WKT,PLANID,LAAG
"LINESTRING (91237.528386 436600.851463,91234.820486 436614.270971,91216.616138 436610.597547)","582",ALG_CODERINGEN
"LINESTRING (91338.861948 433813.528283,91344.395952 433811.204877)","574",ALG_CODERINGEN
"LINESTRING (91721.099076 433551.663093,91723.186645 433550.097416)","574",ALG_CODERINGEN
"LINESTRING (91086.45247 433103.490762,91087.155319 433107.372402)","577",ALG_CODERINGEN
"LINESTRING (93138.052999 435451.38,93140.25276 435450.468662,93142.622267 435450.234322,93144.957927 435450.697115,93147.05905 435451.817276,93148.745103 435453.498558,93149.871214 435455.596499,93150.340623 435457.930837,93150.112999 435460.300999)","488",ALG_CODERINGEN
"LINESTRING (94682.470325 433680.834131,94686.375658 433681.765493)","598",ALG_CODERINGEN
"LINESTRING (88420.570881 440005.733802,88418.073032 440004.380695)","646",ALG_CODERINGEN
"LINESTRING (90552.15959 436489.059759,90545.007197 436508.713939,90552.18774 436514.116946)","582",ALG_CODERINGEN
"LINESTRING (87461.276845 441313.834318,87463.188879 441310.754643)","646",ALG_CODERINGEN
"LINESTRING (90641.715983 436681.851427,90646.821256 436676.112073,90658.996683 436686.942367)","582",ALG_CODERINGEN
"LINESTRING (90387.532416 436543.337756,90398.199075 436527.866182)","582",ALG_CODERINGEN
"LINESTRING (91743.35069 433813.65092,91742.20105 433814.513151)","574",ALG_CODERINGEN
"LINESTRING (87376.361796 442460.265085,87377.711306 442457.746327)","646",ALG_CODERINGEN
"LINESTRING (66547.683138 436917.898608,66547.683138 436942.898608,66547.683138 436967.898608)","587",ALG_CODERINGEN
"LINESTRING (94830.326084 434226.654222,94837.344809 434227.887977)","632",ALG_CODERINGEN
"LINESTRING (91200.271517 437357.906676,91207.272688 437352.274258)","582",ALG_CODERINGEN
"LINESTRING (91144.643868 436635.936435,91146.99629 436624.531747,91124.86632 436619.775866)","582",ALG_CODERINGEN
"LINESTRING (87817.844568 442828.136501,87816.30012 442825.800975,87814.42755 442827.039277,87815.852895 442820.048431,87822.843741 442821.473776,87820.971171 442822.712078,87822.51562 442825.047604,87817.844568 442828.136501)","646",ALG_CODERINGEN
"LINESTRING (94719.871257 434670.398505,94725.157553 434671.020421)","632",ALG_CODERINGEN
"LINESTRING (91649.618951 434699.28295,91651.534617 434701.468297,91662.980947 434691.434494)","574",ALG_CODERINGEN
"LINESTRING (91701.214255 433896.011157,91703.652499 433894.17925,91694.652963 433882.200993)","574",ALG_CODERINGEN
"LINESTRING (91331.840586 433772.806322,91330.229303 433775.235807)","574",ALG_CODERINGEN
"LINESTRING (91701.366203 433941.981101,91697.302775 433929.82005)","574",ALG_CODERINGEN
"LINESTRING (90694.384018 436183.056073,90684.219328 436179.497039,90674.178005 436175.981201)","582",ALG_CODERINGEN
"LINESTRING (94617.327601 435802.274546,94618.382436 435800.605238,94621.022741 435802.202003)","687",ALG_CODERINGEN
"LINESTRING (93234.529 435522.745,93236.72866 435521.834096,93239.097938 435521.600066,93241.433303 435522.063014,93243.534136 435523.183171,93245.219965 435524.864309,93246.345972 435526.962013,93246.815426 435529.296078,93246.588 435531.666)","488",ALG_CODERINGEN
"LINESTRING (94806.277466 434159.649135,94809.850842 434155.362903)","632",ALG_CODERINGEN
"LINESTRING (91963.190093 433630.299093,91967.929894 433629.690541)","574",ALG_CODERINGEN
"LINESTRING (90603.465683 437151.575482,90617.871479 437175.941891)","582",ALG_CODERINGEN
"LINESTRING (94680.019003 433053.74937,94690.322315 433058.222767)","598",ALG_CODERINGEN
"LINESTRING (91836.120631 434198.584057,91838.316092 434196.528808)","574",ALG_CODERINGEN
"LINESTRING (94690.322315 433058.222767,94693.887457 433061.412352)","598",ALG_CODERINGEN
"LINESTRING (91764.336207 434104.862131,91771.188427 434091.519672)","574",ALG_CODERINGEN
"LINESTRING (94673.998777 434328.486695,94674.499216 434325.535666)","632",ALG_CODERINGEN
"LINESTRING (94488.221963 435945.809244,94486.542111 435946.125601)","687",ALG_CODERINGEN
"LINESTRING (92422.800497 443484.133213,92417.079121 443488.790779)","709",ALG_CODERINGEN
"LINESTRING (95900.313271 441011.397483,95910.62817 441013.87408)","589",ALG_CODERINGEN
"LINESTRING (95039.275578 433359.917239,95048.284633 433361.484137)","598",ALG_CODERINGEN
"LINESTRING (94747.538273 435585.672817,94748.484889 435583.950903,94750.535046 435584.232409)","687",ALG_CODERINGEN
"LINESTRING (94606.282844 433923.991582,94605.755882 433927.032721)","632",ALG_CODERINGEN
"LINESTRING (95899.75628 441047.660835,95898.124129 441056.82229)","589",ALG_CODERINGEN
"LINESTRING (91758.224402 433597.143442,91762.07937 433594.252217,91765.139865 433598.332875)","574",ALG_CODERINGEN
"LINESTRING (95422.819811 433838.049586,95432.570355 433840.324444)","598",ALG_CODERINGEN
"LINESTRING (65427.683138 436917.898608,65427.683138 436942.898608,65427.683138 436967.898608)","587",ALG_CODERINGEN
"LINESTRING (91842.228842 433995.735218,91841.534947 433994.624732)","574",ALG_CODERINGEN
"LINESTRING (94822.45092 436289.109774,94822.408951 436285.844576)","687",ALG_CODERINGEN
"LINESTRING (94336.598815 436081.185657,94338.493595 436082.836264)","687",ALG_CODERINGEN
"LINESTRING (90575.9577 436410.339693,90579.641844 436400.266169,90569.865032 436396.789127)","582",ALG_CODERINGEN
"LINESTRING (91269.190041 433618.513504,91275.938134 433634.586455,91283.983116 433631.208837)","574",ALG_CODERINGEN
"LINESTRING (94372.291447 436200.379975,94370.643462 436199.692246)","687",ALG_CODERINGEN
"LINESTRING (90631.481576 437003.378494,90639.101145 437002.580921)","582",ALG_CODERINGEN
"LINESTRING (91304.168614 433696.603753,91298.184327 433680.877047)","574",ALG_CODERINGEN
"LINESTRING (90983.861729 437309.360457,90994.1051 437301.123164,90989.412022 437295.287152)","582",ALG_CODERINGEN
"LINESTRING (91681.1463 434557.981694,91681.116091 434550.4807,91677.820285 434550.385449)","574",ALG_CODERINGEN
"LINESTRING (91707.336424 434401.36861,91706.278456 434402.439276)","574",ALG_CODERINGEN
"LINESTRING (90563.488 431123.302998,90563.488 431007.203,90597.682 431007.203)","494",ALG_CODERINGEN
"LINESTRING (90642.884577 436916.642096,90632.886739 436917.841433,90635.864819 436940.586005)","582",ALG_CODERINGEN
"LINESTRING (94647.309272 436411.111698,94649.323401 436409.614376)","687",ALG_CODERINGEN
"LINESTRING (92063.184185 433990.997672,92066.65392 433989.690423)","574",ALG_CODERINGEN
"LINESTRING (90497.858058 437232.178066,90507.678397 437205.317945)","582",ALG_CODERINGEN
"LINESTRING (94708.949553 435415.161132,94707.196204 435414.194171)","687",ALG_CODERINGEN
"LINESTRING (91771.524136 434153.621844,91771.157262 434151.999448)","574",ALG_CODERINGEN
"LINESTRING (87881.606411 441110.528064,87879.511099 441109.31581)","646",ALG_CODERINGEN
"LINESTRING (94649.739916 435810.039996,94649.336103 435807.644841)","687",ALG_CODERINGEN
"LINESTRING (92954.008713 435043.584623,92954.830557 435040.323391)","569",ALG_CODERINGEN
"LINESTRING (91571.008226 434240.178149,91565.217387 434242.569424)","574",ALG_CODERINGEN
"LINESTRING (91581.843502 433938.814114,91585.847947 433937.168876)","574",ALG_CODERINGEN
"LINESTRING (91717.001102 443687.060829,91718.099 443685.693,91717.200895 443687.181057)","368",ALG_MAATVOERING
"LINESTRING (90593.344294 436627.258135,90601.125152 436634.179369,90610.019251 436642.090854)","582",ALG_CODERINGEN
"LINESTRING (90587.224673 437100.665572,90593.838405 437110.329549)","582",ALG_CODERINGEN
"LINESTRING (90413.103823 431072.469992,90414.063 431072.641)","494",ALG_MAATVOERING
"LINESTRING (94258.560993 433847.998015,94258.61898 433846.592763)","568",ALG_CODERINGEN
"LINESTRING (91440.248612 437218.390797,91415.860935 437218.739932)","582",ALG_CODERINGEN
"LINESTRING (87066.994303 442324.300115,87071.11281 442325.634244,87110.44179 442338.374279,87114.560873 442339.708594)","646",ALG_MAATVOERING
"LINESTRING (94643.757182 435854.049272,94645.993504 435852.933826)","687",ALG_CODERINGEN
"LINESTRING (92716.02782 434982.534391,92717.039429 434978.632469)","569",ALG_CODERINGEN
"LINESTRING (91323.25423 436906.113416,91337.953709 436903.916212)","582",ALG_CODERINGEN
"LINESTRING (92670.443983 435119.353444,92672.296498 435116.730662)","569",ALG_CODERINGEN
"LINESTRING (65347.683138 436942.898608,65387.683138 436942.898608,65427.683138 436942.898608,65467.683138 436942.898608,65507.683138 436942.898608,65547.683138 436942.898608,65747.683138 436942.898608,66147.683138 436942.898608,66347.683138 436942.898608,66547.683138 436942.898608)","587",ALG_CODERINGEN
"LINESTRING (92994.582551 435054.063347,92995.404395 435050.802116)","569",ALG_CODERINGEN
"LINESTRING (90627.142739 436615.667982,90637.245841 436624.5307,90642.826348 436618.189297)","582",ALG_CODERINGEN
"LINESTRING (94495.269923 435767.581401,94496.619645 435765.371075)","687",ALG_CODERINGEN
"LINESTRING (91320.098403 436973.024444,91329.69915 436971.686864,91327.653 436957.000208,91318.052252 436958.337788)","582",ALG_CODERINGEN
"LINESTRING (91478.51296 434134.863146,91472.238939 434118.753302)","574",ALG_CODERINGEN
"LINESTRING (94802.120933 433965.331913,94804.891182 433967.613294)","632",ALG_CODERINGEN
"LINESTRING (91902.334458 434371.46624,91889.730897 434357.629708)","574",ALG_CODERINGEN
"LINESTRING (94891.784823 434067.736949,94891.449508 434069.954209,94893.280843 434071.03706)","632",ALG_CODERINGEN
"LINESTRING (91826.76585 434150.656238,91823.614514 434135.375727)","574",ALG_CODERINGEN
"LINESTRING (91231.094637 437022.053528,91229.509964 437010.017544,91215.586348 437011.632427)","582",ALG_CODERINGEN
"LINESTRING (92324.382434 434944.830417,92322.96085 434941.021558)","586",ALG_CODERINGEN
"LINESTRING (91016.720776 436274.241666,91012.734127 436287.54221)","582",ALG_CODERINGEN
"LINESTRING (93150.112999 435460.300999,93152.31276 435459.389662,93154.682267 435459.155322,93157.017927 435459.618115,93159.11905 435460.738276,93160.805103 435462.419558,93161.931214 435464.517499,93162.400623 435466.851837,93162.172999 435469.222)","488",ALG_CODERINGEN
"LINESTRING (90224.20927 437227.37003,90221.64138 437208.589023,90241.660573 437205.851838)","582",ALG_CODERINGEN
"LINESTRING (88918.131457 441034.491448,88918.595329 441031.73014,88916.381377 441031.358217,88921.091353 441028.003097)","646",ALG_CODERINGEN
"LINESTRING (91044.75402 432710.686991,91044.920466 432711.657693)","577",ALG_CODERINGEN
"LINESTRING (95144.771146 433463.900946,95153.116885 433465.301114)","598",ALG_CODERINGEN
"LINESTRING (90320.444435 436698.315716,90320.987918 436695.241146,90323.190707 436682.779627,90324.386572 436676.014433)","582",ALG_CODERINGEN
"LINESTRING (91315.543549 437054.313989,91317.657255 437069.124884,91330.499615 437067.675499)","582",ALG_CODERINGEN
"LINESTRING (90784.08151 436563.265449,90790.663018 436532.206895)","582",ALG_CODERINGEN
"LINESTRING (91616.376694 434724.68396,91618.229811 434726.797952)","574",ALG_CODERINGEN
"LINESTRING (92131.224228 443719.954833,92132.797743 443721.769528)","709",ALG_CODERINGEN
"LINESTRING (90425.650088 436797.812918,90405.355725 436779.762155)","582",ALG_CODERINGEN
"LINESTRING (91689.995958 434399.840579,91687.770065 434397.628719)","574",ALG_CODERINGEN
"LINESTRING (87114.560873 442339.708594,87118.679514 442341.042766,87158.00836 442353.782758,87162.127444 442355.117073)","646",ALG_MAATVOERING
"LINESTRING (92294.905162 442922.076582,92297.404219 442922.145258)","593",ALG_MAATVOERING
"LINESTRING (91948.067728 434379.716129,91945.62008 434377.051418)","574",ALG_CODERINGEN
"LINESTRING (94476.858243 436507.776402,94477.189986 436502.112051)","687",ALG_CODERINGEN
"LINESTRING (90980.790556 436763.226042,90980.790556 436779.838122,90990.747746 436779.954518)","582",ALG_CODERINGEN
"LINESTRING (90441.261683 437254.433419,90448.829978 437230.969121)","582",ALG_CODERINGEN
"LINESTRING (93879.872506 433581.012231,93876.310049 433578.429413)","598",ALG_CODERINGEN
"LINESTRING (91440.858105 434100.001821,91421.980569 434107.395988)","574",ALG_CODERINGEN
"LINESTRING (91424.000813 433684.892693,91424.00751 433684.890092)","574",ALG_CODERINGEN
"LINESTRING (93901.906802 433660.318182,93905.616677 433665.10553)","598",ALG_CODERINGEN
"LINESTRING (91324.044584 433685.931818,91321.94948 433677.619021)","574",ALG_CODERINGEN
"LINESTRING (88341.984407 440180.012582,88339.070169 440178.407051)","646",ALG_CODERINGEN
"LINESTRING (94652.40519 436391.051861,94654.419319 436389.554539)","687",ALG_CODERINGEN
"LINESTRING (87025.159544 432342.04152,87033.526793 432342.292862)","634",ALG_CODERINGEN
"LINESTRING (91405.977438 432477.905286,91408.335273 432478.736317)","624",ALG_MAATVOERING
"LINESTRING (68729.155393 445131.37089,68729.639988 445132.281298)","462",ALG_MAATVOERING
"LINESTRING (99400.979752 443290.349804,99400.961 443290.376,99400.982986 443290.352632)","442",ALG_MAATVOERING
"LINESTRING (94191.463661 432974.358343,94199.371971 432964.305061)","598",ALG_CODERINGEN
"LINESTRING (91169.913781 436999.976113,91170.143971 437014.4335,91185.671347 437014.186275)","582",ALG_CODERINGEN
"LINESTRING (91598.332617 434381.801433,91596.8167 434382.781681)","574",ALG_CODERINGEN
"LINESTRING (92990.451564 443014.982641,92993.750427 443012.471346)","593",ALG_CODERINGEN
"LINESTRING (91205.7267 437370.964221,91193.76733 437380.585491)","582",ALG_CODERINGEN
"LINESTRING (93929.840319 433791.699691,93934.509493 433787.175703)","598",ALG_CODERINGEN
"LINESTRING (94596.920308 433916.550301,94596.278477 433920.339085)","632",ALG_CODERINGEN
"LINESTRING (87974.18077 441050.420859,87972.808694 441048.16638)","646",ALG_CODERINGEN
"LINESTRING (91250.139065 432307.416891,91256.013365 432401.632562)","624",ALG_MAATVOERING
"LINESTRING (91467.680386 434110.253035,91462.494257 434112.339739)","574",ALG_CODERINGEN
"LINESTRING (90205.304356 437298.491072,90203.438228 437281.980423,90215.232152 437280.823626)","582",ALG_CODERINGEN
"LINESTRING (91527.781908 443472.128275,91530.82028 443469.850659)","709",ALG_CODERINGEN
"LINESTRING (65347.683138 436917.898608,65347.683138 436942.898608,65347.683138 436967.898608)","587",ALG_CODERINGEN
"LINESTRING (90316.057564 436490.547524,90324.44304 436472.989755,90338.834656 436479.497503)","582",ALG_CODERINGEN
"LINESTRING (87421.186908 440445.573171,87418.592342 440444.520448,87419.43639 440442.440186,87412.864789 440445.218243,87415.642847 440451.789844,87416.486895 440449.709581,87419.081462 440450.762304,87421.186908 440445.573171)","646",ALG_CODERINGEN
"LINESTRING (91682.531768 434147.696372,91676.911986 434134.133779)","574",ALG_CODERINGEN
"LINESTRING (91359.848833 436382.461926,91353.465819 436400.103309)","582",ALG_CODERINGEN
"LINESTRING (94794.756084 435584.668952,94795.730802 435582.997026)","687",ALG_CODERINGEN
"LINESTRING (90380.45314 437282.741843,90385.94033 437318.187336)","582",ALG_CODERINGEN
"LINESTRING (91652.621984 434097.57171,91651.205534 434098.153794)","574",ALG_CODERINGEN
"LINESTRING (87920.469976 440565.35422,87917.801249 440562.51678)","646",ALG_CODERINGEN
"LINESTRING (91585.847947 433937.168876,91589.994611 433935.465209,91583.069801 433918.610485)","574",ALG_CODERINGEN
"LINESTRING (90596.338959 436639.560012,90601.125152 436634.179369)","582",ALG_CODERINGEN
"LINESTRING (94613.72997 436465.091902,94615.380585 436463.206666)","687",ALG_CODERINGEN
"LINESTRING (94821.38268 436226.190443,94822.68135 436223.870881)","687",ALG_CODERINGEN
"LINESTRING (87843.614753 440947.112639,87838.488615 440943.854744)","646",ALG_CODERINGEN
"LINESTRING (86773.597418 441813.811307,86775.169522 441809.891836)","588",ALG_CODERINGEN
"LINESTRING (92710.464224 435194.166771,92715.703512 435196.911947)","569",ALG_CODERINGEN
"LINESTRING (90303.752931 436711.468032,90306.547699 436696.440338,90307.509663 436691.267775)","582",ALG_CODERINGEN
"LINESTRING (93864.971003 433557.199997,93875.561217 433545.141395)","598",ALG_CODERINGEN
"LINESTRING (91869.197443 433949.676624,91866.342361 433941.861456)","574",ALG_CODERINGEN
"LINESTRING (94351.984073 435970.447222,94353.392387 435968.569469)","687",ALG_CODERINGEN
"LINESTRING (90413.09283 431072.727992,90413.098204 431072.598908)","494",ALG_MAATVOERING
"LINESTRING (91366.965642 436937.713,91369.927642 436959.248345)","582",ALG_CODERINGEN
"LINESTRING (65747.683138 436917.898608,65747.683138 436942.898608,65747.683138 436967.898608)","587",ALG_CODERINGEN
"LINESTRING (90756.031696 437023.106496,90738.142296 437001.15625)","582",ALG_CODERINGEN
"LINESTRING (93548.515469 434772.269625,93555.397871 434774.506971,93561.462822 434776.478579)","631",ALG_CODERINGEN
"LINESTRING (92039.30968 434142.608942,92028.497824 434150.458035,92033.111876 434156.813734)","574",ALG_CODERINGEN
"LINESTRING (91247.390707 436835.624103,91248.808987 436852.930781,91240.192122 436853.376629)","582",ALG_CODERINGEN
"LINESTRING (94185.273913 436372.602897,94184.906176 436372.285795)","440",ALG_MAATVOERING
"LINESTRING (95573.66 434642.016,95573.952893 434641.308893,95574.66 434641.016,95575.367106 434641.308893,95575.66 434642.016,95575.367106 434642.723106,95574.66 434643.016,95573.952893 434642.723106,95573.66 434642.016)","537",ALG_CODERINGEN
"LINESTRING (94782.342496 436300.43256,94783.608401 436298.218325)","687",ALG_CODERINGEN
"LINESTRING (90414.620481 436809.422299,90394.326118 436791.371536)","582",ALG_CODERINGEN
"LINESTRING (92517.329 431134.756,92517.327517 431134.751426)","494",ALG_CODERINGEN
"LINESTRING (91283.983116 433631.208837,91289.224062 433629.008471)","574",ALG_CODERINGEN
"LINESTRING (90579.85292 436627.786759,90585.915432 436620.971277)","582",ALG_CODERINGEN
"LINESTRING (90626.627549 436667.144878,90631.466923 436661.704449,90618.107774 436649.82121)","582",ALG_CODERINGEN
"LINESTRING (94714.336629 436267.180223,94711.714749 436265.802925)","687",ALG_CODERINGEN
"LINESTRING (90310.585091 437372.279345,90314.99547 437374.132085,90323.026167 437356.126997)","582",ALG_CODERINGEN
"LINESTRING (94758.336775 436338.269043,94755.687864 436339.69963,94755.160125 436336.620228)","687",ALG_CODERINGEN
"LINESTRING (68746.027615 445495.620906,68746.396046 445494.245906,68747.402615 445493.239336,68748.777615 445492.870906,68750.152615 445493.239336,68751.159185 445494.245906,68751.527615 445495.620906,68751.159185 445496.995906,68750.152615 445498.002475,68748.777615 445498.370906,68747.402615 445498.002475,68746.396046 445496.995906,68746.027615 445495.620906)","595",ALG_CODERINGEN
"LINESTRING (90546.088657 437295.080937,90556.127312 437267.68848)","582",ALG_CODERINGEN
"LINESTRING (94199.371971 432964.305061,94209.453144 432971.145254)","598",ALG_CODERINGEN
"LINESTRING (94601.595252 434918.94802,94600.651235 434920.024559)","632",ALG_CODERINGEN
"LINESTRING (91847.243463 434267.391939,91849.438924 434265.33669)","574",ALG_CODERINGEN
"LINESTRING (91718.586223 434605.259957,91722.14708 434606.640113,91727.337115 434593.249609)","574",ALG_CODERINGEN
"LINESTRING (86795.018454 441883.559551,86795.418018 441882.068361,86796.509644 441880.976734,86798.000834 441880.577171,86799.492024 441880.976734,86800.583651 441882.068361,86800.983214 441883.559551,86800.583651 441885.050741,86799.492024 441886.142368,86798.000834 441886.541931,86796.509644 441886.142368,86795.418018 441885.050741,86795.018454 441883.559551)","646",ALG_CODERINGEN
"LINESTRING (90703.007006 437110.181857,90710.729049 437120.340649,90729.261951 437105.646681)","582",ALG_CODERINGEN
"LINESTRING (91698.90015 434065.352649,91693.971591 434049.139183)","574",ALG_CODERINGEN
"LINESTRING (91865.104146 434146.906269,91859.512055 434151.470177)","574",ALG_CODERINGEN
"LINESTRING (95422.436478 433552.520963,95422.255179 433561.088872)","598",ALG_CODERINGEN
"LINESTRING (92124.78755 443769.192696,92105.355081 443769.192696)","709",ALG_CODERINGEN
"LINESTRING (90500.159263 437053.061829,90510.43671 437051.705656)","582",ALG_CODERINGEN
"LINESTRING (91120.69075 436592.355631,91098.459462 436587.660623,91101.513056 436574.002551)","582",ALG_CODERINGEN
"LINESTRING (92062.535956 433977.100391,92060.693272 433969.849414)","574",ALG_CODERINGEN
"LINESTRING (90001.636327 437483.955224,89999.419206 437496.620062)","582",ALG_CODERINGEN
"LINESTRING (90832.499107 436294.509295,90841.744195 436297.489212)","582",ALG_CODERINGEN
"LINESTRING (90458.282581 437233.810731,90477.072886 437241.248417,90481.062607 437231.452439)","582",ALG_CODERINGEN
"LINESTRING (91246.32687 436643.191813,91267.316138 436647.425718,91264.946822 436659.17143)","582",ALG_CODERINGEN
"LINESTRING (94736.954474 434258.261054,94740.527849 434253.974822)","632",ALG_CODERINGEN
"LINESTRING (68729.639988 445132.281298,68729.75424 445132.220449)","462",ALG_MAATVOERING
"LINESTRING (92158.972446 443700.572017,92160.545961 443702.386712)","709",ALG_CODERINGEN
"LINESTRING (90962.613621 432600.776126,90964.325334 432602.185793)","577",ALG_CODERINGEN
"LINESTRING (90188.80671 437231.357529,90186.23882 437212.576521,90206.258012 437209.839336)","582",ALG_CODERINGEN
"LINESTRING (68729.526166 445132.342311,68729.639988 445132.281298)","462",ALG_MAATVOERING
"LINESTRING (88130.190544 440387.644634,88132.547203 440385.563496)","646",ALG_CODERINGEN
"LINESTRING (87114.560873 442339.708594,87109.671199 442340.752879,87110.056217 442339.56368,87110.44179 442338.374279,87110.827363 442337.184878,87111.212935 442335.995477,87114.560873 442339.708594,87110.056217 442339.56368,87110.44179 442338.374279,87110.827363 442337.184878,87114.560873 442339.708594,87110.44179 442338.374279)","646",ALG_MAATVOERING
"LINESTRING (65467.683138 436917.898608,65467.683138 436942.898608,65467.683138 436967.898608)","587",ALG_CODERINGEN
"LINESTRING (90547.496231 436605.132124,90532.799807 436581.711442)","582",ALG_CODERINGEN
"LINESTRING (91072.391632 437218.927475,91065.7845 437210.675927)","582",ALG_CODERINGEN
"LINESTRING (91205.685917 437324.288231,91206.579534 437315.619918)","582",ALG_CODERINGEN
"LINESTRING (90962.424859 437319.044504,90965.991805 437323.48013,90976.927362 437314.68621)","582",ALG_CODERINGEN
"LINESTRING (95018.306144 433990.797448,95021.124321 433990.797448,95021.32079 433989.545831)","632",ALG_CODERINGEN
"LINESTRING (91491.752094 434175.337231,91486.611794 434160.967222)","574",ALG_CODERINGEN
"LINESTRING (93914.068209 433623.594439,93920.165165 433616.629589)","598",ALG_CODERINGEN
"LINESTRING (90358.671337 437076.310723,90363.010645 437101.431511,90357.97395 437116.722425)","582",ALG_CODERINGEN
"LINESTRING (92043.007579 433876.73344,92059.854937 433869.809078)","546",ALG_CODERINGEN
"LINESTRING (87713.657437 432005.633498,87714.046561 432003.426667,87715.166999 432001.486013,87716.883608 432000.045606,87718.989342 431999.279182,87721.230217 431999.279182,87723.33595 432000.045606,87725.05256 432001.486013,87726.172997 432003.426667,87726.562121 432005.633498,87726.172997 432007.840329,87725.05256 432009.780984,87723.33595 432011.22139,87721.230217 432011.987814,87718.989342 432011.987814,87716.883608 432011.22139,87715.166999 432009.780984,87714.046561 432007.840329,87713.657437 432005.633498)","634",ALG_CODERINGEN
"LINESTRING (87993.683229 431987.061138,87994.072353 431984.854307,87995.19279 431982.913652,87996.9094 431981.473246,87999.015134 431980.706821,88001.256008 431980.706821,88003.361742 431981.473246,88005.078352 431982.913652,88006.198789 431984.854307,88006.587913 431987.061138,88006.198789 431989.267969,88005.078352 431991.208623,88003.361742 431992.64903,88001.256008 431993.415454,87999.015134 431993.415454,87996.9094 431992.64903,87995.19279 431991.208623,87994.072353 431989.267969,87993.683229 431987.061138)","634",ALG_CODERINGEN
"LINESTRING (87959.955433 440527.209029,87957.286705 440524.371588)","646",ALG_CODERINGEN
"LINESTRING (86977.085575 432226.034394,86983.267918 432226.034394)","634",ALG_CODERINGEN
"LINESTRING (93355.12 435611.948,93357.31961 435611.0368,93359.688929 435610.802493,93362.024409 435611.265207,93364.12541 435612.385191,93365.811438 435614.066227,93366.937645 435616.163899,93367.407281 435618.497997,93367.18 435620.868)","488",ALG_CODERINGEN
"LINESTRING (92667.391497 443332.073158,92647.959028 443332.073158)","709",ALG_CODERINGEN
"LINESTRING (91123.233136 433476.091667,91121.573269 433471.929531)","574",ALG_CODERINGEN
"LINESTRING (94731.298268 434243.087205,94737.458756 434248.309195)","632",ALG_CODERINGEN
"LINESTRING (94673.00369 435718.417117,94670.527561 435714.756945,94671.247775 435713.632632)","687",ALG_CODERINGEN
"LINESTRING (91123.938848 437068.970439,91118.034093 437081.918987,91110.404352 437078.447276)","582",ALG_CODERINGEN
"LINESTRING (94727.280306 434343.486606,94730.5081 434346.413206)","632",ALG_CODERINGEN
"LINESTRING (92905.97681 443034.043542,92882.276212 443034.043542)","592",ALG_CODERINGEN
"LINESTRING (88471.896036 439690.440764,88473.914307 439692.381533,88475.47037 439690.763331,88475.610011 439697.896636,88468.476706 439698.036277,88470.032769 439696.418075,88468.014498 439694.477306,88471.896036 439690.440764)","646",ALG_CODERINGEN
"LINESTRING (90711.533431 437264.24174,90690.812616 437257.348275,90695.18844 437243.74275)","582",ALG_CODERINGEN
"LINESTRING (91706.278456 434402.439276,91699.507173 434409.291834,91689.995958 434399.840579)","574",ALG_CODERINGEN
"LINESTRING (95892.546109 441009.348239,95892.873045 441002.674513)","589",ALG_CODERINGEN
"LINESTRING (94539.252158 433992.073831,94538.465488 433989.302968)","632",ALG_CODERINGEN
"LINESTRING (91458.379858 433367.934497,91450.690676 433368.743677,91448.816752 433352.331645)","574",ALG_CODERINGEN
"LINESTRING (93024.950223 435141.374265,93022.109687 435140.642368)","569",ALG_CODERINGEN
"LINESTRING (90333.155128 437303.768096,90331.25068 437288.532083,90325.198773 437289.454503)","582",ALG_CODERINGEN
"LINESTRING (94847.76586 434356.054264,94851.287335 434356.633989)","632",ALG_CODERINGEN
"LINESTRING (91718.099 443685.693,91717.6 443687.422,91717.401014 443687.301976)","368",ALG_MAATVOERING
"LINESTRING (91207.272688 437352.274258,91203.005331 437346.969875)","582",ALG_CODERINGEN
"LINESTRING (91076.087461 437202.426199,91065.7845 437210.675927)","582",ALG_CODERINGEN
"LINESTRING (91648.374966 434194.729832,91639.95224 434196.386827,91637.824709 434185.996583)","574",ALG_CODERINGEN
"LINESTRING (94571.543951 435875.251856,94572.532642 435873.645304,94574.21498 435873.811928)","687",ALG_CODERINGEN
"LINESTRING (91072.182337 441483.927297,91078.241228 441483.927297)","527",ALG_CODERINGEN
"LINESTRING (95062.559158 433108.252684,95071.403916 433110.335427)","598",ALG_CODERINGEN
"LINESTRING (90547.06034 436674.832139,90553.556249 436667.81356)","582",ALG_CODERINGEN
"LINESTRING (91275.357537 436436.851955,91279.536659 436423.09558)","582",ALG_CODERINGEN
"LINESTRING (94062.295634 433786.970135,94068.651189 433788.458122)","598",ALG_CODERINGEN
"LINESTRING (94398.664895 433207.876102,94405.83262 433209.547489)","598",ALG_CODERINGEN
"LINESTRING (87677.939447 440794.009857,87675.729577 440791.980246)","646",ALG_CODERINGEN
"LINESTRING (90689.924204 436421.180157,90715.13059 436428.767906,90719.521555 436414.795195)","582",ALG_CODERINGEN
"LINESTRING (91138.32913 437331.16776,91131.142637 437322.094749)","582",ALG_CODERINGEN
"LINESTRING (91708.474322 434418.081015,91701.824406 434411.509968,91708.579789 434404.714179)","574",ALG_CODERINGEN
"LINESTRING (86229.801082 440835.656332,86233.930691 440836.959689,86249.512886 440841.87748,86253.641944 440843.180514)","588",ALG_MAATVOERING
"LINESTRING (91090.240555 436502.337727,91087.761549 436511.298982,91070.726178 436506.586383,91073.099696 436498.006459)","582",ALG_CODERINGEN
"LINESTRING (95574.66 434642.016,95575.66 434642.016,95581.718 434642.016,95581.718 434608.851,95611.608 434608.851)","537",ALG_CODERINGEN
