WKT,PLANID,LAAG
"LINESTRING (90488.238886 436975.720708,90497.611797 436974.340661,90495.098045 436955.456394)","582",ALG_CODERINGEN
"LINESTRING (90575.725058 437008.408693,90572.901868 436995.076874,90560.313359 436997.742659)","582",ALG_CODERINGEN
"LINESTRING (90513.967 431077.015,90512.991 431077.231,90512.99683 431077.101992)","494",ALG_MAATVOERING
"LINESTRING (92464.397328 443518.169785,92461.861549 443515.127235,92447.733947 443515.127235)","709",ALG_CODERINGEN
"LINESTRING (94044.75542 433156.982011,94042.021155 433161.89975)","598",ALG_CODERINGEN
"LINESTRING (95547.88 434321.779,95547.88 434269.023,95510.013 434268.299,95510.013 434321.055,95547.88 434321.779)","537",ALG_CODERINGEN
"LINESTRING (91724.935839 434578.371428,91728.476043 434579.743578)","574",ALG_CODERINGEN
"LINESTRING (89783.112968 435612.78301,89783.112991 435612.782974)","407",ALG_MAATVOERING
"LINESTRING (86253.641944 440843.180514,86248.910626 440843.784547,86249.136648 440843.069769,86249.512886 440841.87748,86249.888955 440840.685724,86250.114607 440839.970046,86253.641944 440843.180514,86249.136648 440843.069769,86249.512886 440841.87748,86249.888955 440840.685724,86253.641944 440843.180514,86249.512886 440841.87748)","588",ALG_MAATVOERING
"LINESTRING (94855.893701 434287.540758,94853.755092 434287.900245,94853.502151 434289.335673)","632",ALG_CODERINGEN
"LINESTRING (94738.206396 434201.134847,94740.157085 434198.742588)","632",ALG_CODERINGEN
"LINESTRING (69011.302072 445275.816883,69015.195715 445274.852922)","595",ALG_CODERINGEN
"LINESTRING (91003.478577 436355.982934,91010.705076 436331.456056)","582",ALG_CODERINGEN
"LINESTRING (95765.995 434303.262,95766.337604 434301.098881,95767.331881 434299.147503,95768.880503 434297.598881,95770.831881 434296.604604,95772.995 434296.262,95775.158118 434296.604604,95777.109496 434297.598881,95778.658118 434299.147503,95779.652395 434301.098881,95779.995 434303.262,95779.652395 434305.425118,95778.658118 434307.376496,95777.109496 434308.925118,95775.158118 434309.919395,95772.995 434310.262,95770.831881 434309.919395,95768.880503 434308.925118,95767.331881 434307.376496,95766.337604 434305.425118,95765.995 434303.262)","537",ALG_CODERINGEN
"LINESTRING (90844.116097 437024.808867,90844.661808 437041.283032,90825.735103 437041.750819)","582",ALG_CODERINGEN
"LINESTRING (90488.173318 436881.472998,90491.648238 436906.144349,90505.419214 436904.148872)","582",ALG_CODERINGEN
"LINESTRING (92035.217172 434105.632994,92044.302004 434099.451718)","574",ALG_CODERINGEN
"LINESTRING (92272.883804 443576.853242,92275.463065 443574.733644)","709",ALG_CODERINGEN
"LINESTRING (92250.414662 442880.970904,92251.393662 442925.960253)","593",ALG_MAATVOERING
"LINESTRING (90965.352529 432603.031731,90967.837502 432605.07821)","577",ALG_CODERINGEN
"LINESTRING (87078.521528 440483.827917,87078.300278 440481.036672,87076.062323 440481.214065,87080.692881 440475.786222,87086.120723 440480.41678,87083.882768 440480.594173,87084.104018 440483.385418,87078.521528 440483.827917)","646",ALG_CODERINGEN
"LINESTRING (91638.209694 434705.209789,91640.232139 434707.516948)","574",ALG_CODERINGEN
"LINESTRING (91214.849582 437445.341914,91207.690711 437473.194725)","582",ALG_CODERINGEN
"LINESTRING (91405.977438 432477.905286,91406.85642 432480.245669)","577",ALG_MAATVOERING
"LINESTRING (94600.101149 434478.788532,94604.684076 434480.827502)","632",ALG_CODERINGEN
