WKT,PLANID,LAAG,TEKST,SYMBOOL,ROTATIE,OID_,SYMBOOL_1,LEGENDA,LAAG_1
"POINT (90936.354722 437006.986089)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90823.777977 437008.118812)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90825.766146 437009.52)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90177.587754 437013.668843)","582",A_DAK,,Plat afgedekt,"4.7907","0",,,
"POINT (90823.593888 437015.280439)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90825.655693 437016.629731)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90940.329241 437018.204393)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90940.329241 437018.204393)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90943.066796 437018.558057)","582",A_KANTOOR_TOEGEST,"2",,"4.4619","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90995.417624 437022.195311)","582",A_BELHUIS_TOEGEST,,Belhuis,"4.7646","0",,,
"POINT (90823.92525 437023.687566)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
