X,Y,Z
0.0,0.0,0.0
0.0,0.0,3000.0
0.0,0.0,6000.0
0.0,0.0,9000.0
11877.510638297857,12454.868383314115,0.0
9847.0,15173.0,2600.0
12964.0,12295.0,0.0
15243.0,15066.0,0.0
8493.0,13854.977321999435,0.0
15350.0,13700.0,0.0
8657.0,15066.0,0.0
10110.0,15066.0,0.0
10936.0,12295.0,0.0
10005.612768706073,15066.0,0.0
8550.0,15066.0,0.0
10005.612768706073,15066.0,0.0
15093.0,15066.0,0.0
10936.0,12352.0,0.0
12857.0,12352.0,0.0
8550.0,10300.0,0.0
10107.0,10300.0,0.0
13675.0,10300.0,0.0
15243.0,10300.0,0.0
8493.0,13854.977321999435,2500.0
8550.0,13550.0,0.0
8550.0,14888.977321999457,0.0
15350.0,13550.0,0.0
8493.0,13915.5095999998,0.0
10735.61386745144,12295.0,0.0
10735.61386745144,12295.0,0.0
13164.386132548532,12295.0,0.0
12964.0,12295.0,0.0
8493.0,13854.977321999435,0.0
8493.0,13861.073321999436,6.096000000000005
8493.0,13854.977321999435,2382.0
11043.0,12352.0,0.0
11243.99643936918,12352.0,0.0
13790.0,15173.0,0.0
10005.612768706073,15173.0,0.0
10110.0,15173.0,0.0
13164.386132548532,15173.0,0.0
8493.0,15020.0,0.0
8550.0,15020.0,0.0
9073.0,10243.0,0.0
8657.0,10300.0,0.0
9073.0,10243.0,2382.0
9073.0,10243.0,0.0
9079.095999999907,10243.0,6.096000000000005
10225.0,10243.0,0.0
10225.0,10300.0,0.0
8550.0,10300.0,0.0
8550.0,10633.0,0.0
15350.0,14734.0,0.0
15407.0,13700.0,2382.0
15407.0,13706.10008397794,2375.904
15350.0,14734.0,0.0
15407.0,13701.595272235694,2382.0
14827.0,10243.0,0.0
14827.0,10300.0,0.0
13675.0,10243.0,0.0
13793.0,10243.0,0.0
13799.096000000047,10243.0,6.096000000000005
13675.0,10243.0,0.0
11950.0,10300.0,0.0
15350.0,10300.0,0.0
15350.0,10633.0,0.0
3678.2727272727116,15808.363636369495,0.0
8493.0,13854.977321999435,0.0
8493.0,13861.073321999436,6.096000000000005
8493.0,13854.977321999435,2382.0
-180.0,14197.500000032152,0.0
-180.0,14751.9102474404,397.2558379286586
6440.0,13550.0,2500.0
6440.0,13550.0,0.0
-180.0,14197.500000032152,0.0
7893.0,16720.0,0.0
101.49999999995852,13762.499999999767,0.0
101.4999999999589,13762.499999999767,0.0
8493.0,13550.0,0.0
-180.0,14197.500000032152,0.0
8443.0,13854.977321999455,0.0
6440.0,13550.0,0.0
-175.0,14260.0,0.0
-180.0,17686.50000000076,0.0
26.49999999995967,17686.500000000753,0.0
26.499999999959325,17907.0,0.0
6259.0,17907.0,0.0
7893.0,16670.0,0.0
7893.0,15020.0,0.0
7893.0,15020.0,0.0
7893.0,15075.0,0.0
6440.0,13550.0,0.0
11950.0,13709.0,0.0
11043.0,12352.0,0.0
11243.99643936918,12352.0,0.0
11043.0,12352.0,0.0
11043.0,12352.0,2910.0
11043.0,15066.0,2910.0
12857.0,12352.0,2910.0
11150.0,12352.0,2910.0
11043.0,12352.0,0.0
11043.0,15066.0,0.0
12857.0,12352.0,0.0
11043.0,12352.0,2620.0
11043.0,12352.0,3000.0
879.3333333332964,20330.833333333154,0.0
-68.0,20305.0,2500.0
-68.0,20305.0,0.0
-68.0,20305.0,0.0
-68.0,20305.0,0.0
44.0,19236.49999999984,0.0
44.0,19236.49999999984,0.0
1282.0,19236.499999999836,0.0
2600.0,19236.499999999833,0.0
-68.0,21411.0,0.0
6434.367621778848,18640.656339027144,0.0
26.499999999959325,17907.0,0.0
6259.0,17907.0,0.0
44.0,19236.49999999984,0.0
1282.0,19236.499999999836,0.0
-180.0,18008.70423784226,0.0
14063.0,17743.0,2500.0
13790.0,17743.0,0.0
8443.0,17907.0,0.0
8657.0,17743.0,0.0
-180.0,18008.70423784226,0.0
-180.0,19236.499999999814,0.0
7893.0,17907.0,0.0
8657.0,17743.0,0.0
12635.0,19124.0,0.0
14063.0,17743.0,0.0
-175.0,18021.20423784226,0.0
13983.612768706073,17743.0,0.0
11098.499999999982,19124.0,0.0
15180.500000000044,17743.0,0.0
13790.0,17850.0,0.0
12635.0,19124.0,0.0
11098.499999999982,19124.0,0.0
-180.0,18008.70423784226,0.0
26.49999999995878,17907.0,0.0
2600.0,19236.499999999814,0.0
2816.0,19236.499999999814,0.0
7193.0,19236.499999999814,0.0
7299.0,19236.499999999814,0.0
15180.500000000042,17743.0,0.0
8657.0,17743.0,0.0
10110.0,17743.0,0.0
14055.0,19124.0,0.0
14055.0,19124.0,0.0
12635.0,19293.499999999807,0.0
3900.0,19236.499999999814,0.0
8657.0,19236.49999999981,0.0
8550.0,19236.499999999814,0.0
6672.916666666619,23331.165866666463,0.0
2600.0,19236.499999999833,0.0
2600.0,19236.499999999814,0.0
2816.0,19236.499999999814,0.0
7193.0,19236.499999999814,0.0
7299.0,19236.499999999814,0.0
2600.0,19236.499999999833,2500.0
8493.0,21449.49999999979,0.0
8493.0,23669.499999999793,0.0
8493.0,25889.499999999793,0.0
2600.0,19236.499999999833,0.0
2600.0,28218.0,0.0
2600.0,28218.0,0.0
8550.0,21449.49999999979,0.0
8550.0,23669.499999999793,0.0
8550.0,25889.499999999793,0.0
2600.0,25931.0,0.0
2600.0,27077.0,0.0
2600.0,23711.0,0.0
2600.0,24847.0,0.0
2600.0,21411.0,0.0
2600.0,22627.0,0.0
3900.0,24936.499999999753,0.0
3900.0,25752.49999999978,0.0
3900.0,26836.499999999804,0.0
7193.0,24936.499999999745,0.0
3900.0,23036.49999999976,0.0
3900.0,23852.49999999974,0.0
7193.0,23036.499999999753,0.0
3900.0,21136.499999999774,0.0
3900.0,21952.49999999975,0.0
7193.0,21136.499999999764,0.0
3900.0,19236.49999999983,0.0
3900.0,20052.499999999756,0.0
7193.0,19236.499999999818,0.0
8493.0,27079.499999999804,0.0
8550.0,25931.0,0.0
8493.0,27079.499999999804,0.0
8493.0,27079.499999999804,0.0
8493.0,24849.499999999793,0.0
8550.0,23711.0,0.0
8493.0,24849.499999999793,0.0
8493.0,24855.59599999979,6.09599999999987
8493.0,22629.49999999979,0.0
8550.0,21491.0,0.0
8493.0,22629.49999999979,0.0
8493.0,22635.595999999787,6.09599999999987
8493.0,20409.499999999785,0.0
