X_georeferenced,Y_georeferenced,Z_georeferenced
84112.80179552756,431810.2822100221,0.0
84112.80179552756,431810.2822100221,3.0
84112.80179552756,431810.2822100221,6.0
84112.80179552756,431810.2822100221,9.0
84118.65726034415,431826.4659221176,0.0
84115.70399213722,431828.13607774983,2.6
84119.71612299104,431826.7571727452,0.0
84120.68610677436,431830.21136056003,0.0
84114.99548966522,431826.3843574448,0.0
84121.33419708097,431829.00413897535,0.0
84114.65786537288,431827.5588708606,0.0
84115.98781295204,431828.14406180097,0.0
84117.85987131139,431825.9404024582,0.0
84115.89226612097,431828.1020201891,0.0
84114.55992704461,431827.5157769648,0.0
84115.89226612097,431828.1020201891,0.0
84120.5488100525,431830.15094855655,0.0
84117.83691475008,431825.9925752125,0.0
84119.59522810146,431826.76625160367,0.0
84116.47941776848,431823.1534024553,0.0
84117.90455774147,431823.7804790514,0.0
84121.17038909897,431825.21747924085,0.0
84122.60559749823,431825.8489860505,0.0
84114.99548966522,431826.3843574448,2.5
84115.17049102644,431826.12816476246,0.0
84114.63122234221,431827.3537460756,0.0
84121.39460908445,431828.8668422535,0.0
84114.97111049062,431826.43976333376,0.0
84117.67645558402,431825.8596976066,0.0
84117.67645558402,431825.8596976066,0.0
84119.89953871843,431826.8378775968,0.0
84119.71612299104,431826.7571727452,0.0
84114.99548966522,431826.3843574448,0.0
84114.9930345214,431826.3899371836,0.006096000000000005
84114.99548966522,431826.3843574448,2.382
84117.93485307833,431826.03566910827,0.0
84118.11882742656,431826.1166197589,0.0
84119.31306529939,431829.7241079479,0.0
84115.84917222515,431828.1999585174,0.0
84115.94471905624,431828.24200012925,0.0
84118.74043374501,431829.4721440337,0.0
84114.52628063803,431827.45071607543,0.0
84114.57845339234,431827.4736726368,0.0
84116.98108223338,431823.3118662198,0.0
84116.57735609675,431823.19649635116,0.0
84116.98108223338,431823.3118662198,2.382
84116.98108223338,431823.3118662198,0.0
84116.98666197216,431823.31432136364,0.006096000000000005
84118.03552105733,431823.7758304065,0.0
84118.012564496,431823.82800316083,0.0
84116.47941776848,431823.1534024553,0.0
84116.34530312076,431823.4582011779,0.0
84120.91775700366,431829.95057104476,0.0
84121.38636983528,431829.0270955367,2.382
84121.38391304665,431829.03267901356,2.375904
84120.91775700366,431829.95057104476,0.0
84121.38572734468,431829.02855570766,2.382
84122.24778448424,431825.62927067326,0.0
84122.22482792291,431825.6814434276,0.0
84121.19334566029,431825.16530648654,0.0
84121.30135241483,431825.21283059596,0.0
84121.3069321536,431825.21528573975,0.006096000000000005
84121.19334566029,431825.16530648654,0.0
84119.59147679749,431824.5227412008,0.0
84122.7035358265,431825.89207994635,0.0
84122.56942117878,431826.1968786689,0.0
84109.80179465153,431826.2331988899,0.0
84114.99548966522,431826.3843574448,0.0
84114.9930345214,431826.3899371836,0.006096000000000005
84114.99548966522,431826.3843574448,2.382
84106.91904333203,431823.20485034276,0.0
84106.69575644007,431823.71230840636,0.3972558379286586
84113.2391838055,431825.27836924687,2.5
84113.2391838055,431825.27836924687,0.0
84106.91904333203,431823.20485034276,0.0
84113.29242437781,431828.765097576,0.0
84107.35189832351,431822.9200630425,0.0
84107.35189832351,431822.9200630425,0.0
84115.11831827213,431826.10520820116,0.0
84106.91904333203,431823.20485034276,0.0
84114.94972409126,431826.36422011035,0.0
84113.2391838055,431825.27836924687,0.0
84106.89844822133,431823.26407104364,0.0
84105.51386013113,431826.3983720934,0.0
84105.70287195157,431826.4815392848,0.0
84105.61406630646,431826.68336546596,0.0
84111.31874510007,431829.1934842105,0.0
84113.3125617123,431828.71933200205,0.0
84113.97709375057,431827.20906806155,0.0
84113.97709375057,431827.20906806155,0.0
84113.95494268263,431827.2594101929,0.0
84113.2391838055,431825.27836924687,0.0
84118.21851333175,431827.64303803316,0.0
84117.93485307833,431826.03566910827,0.0
84118.11882742656,431826.1166197589,0.0
84117.93485307833,431826.03566910827,0.0
84117.93485307833,431826.03566910827,2.91
84116.84179856206,431828.5198244626,2.91
84119.59522810146,431826.76625160367,2.91
84118.0327914066,431826.0787630041,2.91
84117.93485307833,431826.03566910827,0.0
84116.84179856206,431828.5198244626,0.0
84119.59522810146,431826.76625160367,0.0
84117.93485307833,431826.03566910827,2.62
84117.93485307833,431826.03566910827,3.0
84105.41848359446,431829.2454037414,0.0
84104.5617828094,431828.8402228307,2.5
84104.5617828094,431828.8402228307,0.0
84104.5617828094,431828.8402228307,0.0
