x,y,z
84105.24976097529,431812.0920270033,0.0
84105.24976097529,431812.0920270033,3.0
84105.24976097529,431812.0920270033,6.0
84105.24976097529,431812.0920270033,9.0
84120.92807288808,431819.1905860806,0.0
84120.06364623312,431822.4714365033,2.6
84121.87556053195,431818.6353526182,0.0
84125.02664740686,431820.3508506528,0.0
84118.31449930857,431821.75660448376,0.0
84124.6141434727,431819.04423460196,0.0
84118.92021454069,431822.818009677,0.0
84120.26741268137,431822.2737062968,0.0
84119.99523167488,431819.3950547896,0.0
84120.1706265259,431822.3128104419,0.0
84118.82100586825,431822.8580925825,0.0
84120.1706265259,431822.3128104419,0.0
84124.88756982867,431820.40704164177,0.0
84120.01658425071,431819.4479042693,0.0
84121.79770443535,431818.7282850034,0.0
84117.03563084402,431818.43913433165,0.0
84118.47925610558,431817.8558718657,0.0
84121.78744809868,431816.51927554037,0.0
84123.24127238264,431815.9318924019,0.0
84118.31449930857,431821.75660448376,2.5
84118.25310227263,431821.452481859,0.0
84118.75469200588,431822.69396001357,0.0
84124.55795248368,431818.90515702375,0.0
84118.33717509905,431821.81272903463,0.0
84119.8094368881,431819.4701207561,0.0
84119.8094368881,431819.4701207561,0.0
84122.06135531871,431818.56028665166,0.0
84121.87556053195,431818.6353526182,0.0
84118.31449930857,431821.75660448376,0.0
84118.31678291038,431821.7622565966,0.006096000000000005
84118.31449930857,431821.75660448376,2.382
84120.11579292316,431819.4078213638,0.0
84120.30215357657,431819.3325267724,0.0
84123.71953217167,431820.99436270545,0.0
84120.2107094314,431822.41201911436,0.0
84120.30749558687,431822.3729149692,0.0
84123.13947309458,431821.2287217851,0.0
84118.75092448526,431822.83679470106,0.0
84118.80377396496,431822.81544212525,0.0
84117.49919542416,431818.1903656036,0.0
84117.13483951647,431818.39905142615,0.0
84117.49919542416,431818.1903656036,2.382
84117.49919542416,431818.1903656036,0.0
84117.50484753693,431818.1880820018,0.006096000000000005
84118.56731122461,431817.758818808,0.0
84118.58866380043,431817.8116682877,0.0
84117.03563084402,431818.43913433165,0.0
84117.16037483963,431818.7478865552,0.0
84125.0014866903,431820.00294270756,0.0
84124.66699295242,431819.02288202615,2.382
84124.6692780841,431819.0285379255,2.375904
84125.0014866903,431820.00294270756,0.0
84124.66759055191,431819.0243611368,2.382
84122.83421132332,431816.03487926506,0.0
84122.85556389914,431816.0877287448,0.0
84121.76609552286,431816.4664260607,0.0
84121.8755032177,431816.4222224827,0.0
84121.88115533048,431816.4199388809,0.006096000000000005
84121.76609552286,431816.4664260607,0.0
84120.18805594955,431817.16547191405,0.0
84123.34048105509,431815.8918094964,0.0
84123.46522505068,431816.20056171995,0.0
84114.58211331001,431825.3713813181,0.0
84118.31449930857,431821.75660448376,0.0
84118.31678291038,431821.7622565966,0.006096000000000005
84118.31449930857,431821.75660448376,2.382
84110.40134499151,431825.32314896537,0.0
84110.60903072565,431825.83718919556,0.3972558379286586
84116.29674433949,431822.2429017711,2.5
84116.29674433949,431822.2429017711,0.0
84110.40134499151,431825.32314896537,0.0
84118.8314453813,431824.6377712098,0.0
84110.49939337843,431824.8143722326,0.0
84110.49939337843,431824.8143722326,0.0
84118.20025279291,431821.4738344348,0.0
84110.40134499151,431825.32314896537,0.0
84118.26814011585,431821.77533481346,0.0
84116.29674433949,431822.2429017711,0.0
84110.42939382287,431825.3792249233,0.0
84111.70834739594,431828.55809343397,0.0
84111.8998108619,431828.4807371724,0.0
84111.98241161575,431828.6851812123,0.0
84117.76108498934,431826.35044561885,0.0
84118.81271505162,431824.5914120171,0.0
84118.1946141725,431823.0615586571,0.0
84118.1946141725,431823.0615586571,0.0
84118.21521753514,431823.1125537691,0.0
84116.29674433949,431822.2429017711,0.0
84121.4650898265,431820.32624167425,0.0
84120.11579292316,431819.4078213638,0.0
84120.30215357657,431819.3325267724,0.0
84120.11579292316,431819.4078213638,0.0
84120.11579292316,431819.4078213638,2.91
84121.13247521769,431821.9241983451,2.91
84121.79770443535,431818.7282850034,2.91
84120.21500159558,431819.3677384584,2.91
84120.11579292316,431819.4078213638,0.0
84121.13247521769,431821.9241983451,0.0
84121.79770443535,431818.7282850034,0.0
84120.11579292316,431819.4078213638,2.62
84120.11579292316,431819.4078213638,3.0
84113.68112886105,431830.6130433554,0.0
84112.7930993525,431830.94396841864,2.5
84112.7930993525,431830.94396841864,0.0
84112.7930993525,431830.94396841864,0.0
84112.7930993525,431830.94396841864,0.0
84112.49667679914,431829.9113165316,0.0
84112.49667679914,431829.9113165316,0.0
84113.6445304111,431829.4475535689,0.0
84114.86655873142,431828.9538220788,0.0
84113.20741424483,431831.96943376184,0.0
84118.19851551876,431826.9649860638,0.0
84111.98241161575,431828.6851812123,0.0
84117.76108498934,431826.35044561885,0.0
84112.49667679914,431829.9113165316,0.0
84113.6445304111,431829.4475535689,0.0
84111.82904722785,431828.8568360011,0.0
84124.93539230905,431823.2749576117,2.5
84124.68227111675,431823.3772252117,0.0
84119.7860545277,431825.53230481886,0.0
84119.92303639126,431825.3000808557,0.0
84111.82904722785,431828.8568360011,0.0
84112.28898761573,431829.9952284085,0.0
84119.27610340768,431825.73833844526,0.0
84119.92303639126,431825.3000808557,0.0
84124.12870547023,431825.09033673024,0.0
84124.93539230905,431823.2749576117,0.0
